SID:010,5,ANVI5G,RW12B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1190,    ,+,00460,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ANVI5G,RW12B,ASTES,OM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANVI5G,RW12B,DB469,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,ANVI5G,RW12B,LUBAP,OM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,5,ANVI5G,RW12B,LOPUV,OM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANVI5G,RW12B,ANVIX,OM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANVI7F,RW30B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2990,    ,+,00460,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ANVI7F,RW30B,DB570,OM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,+,180,    ,   , , , , , , , , ;
SID:025,5,ANVI7F,RW30B,DB586,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,+,190,    ,   , , , , , , , , ;
SID:030,5,ANVI7F,RW30B,DB587,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:035,5,ANVI7F,RW30B,DB588,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,ANVI7F,RW30B,DB589,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANVI7F,RW30B,DB571,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ANVI7F,RW30B,DB572,OM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,250,    ,   , , , , , , , , ;
