APPCH:010,A,D22,FYU,FYU,PA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D22,FYU,SKOKI,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D22,FYU,SKOKI,PA,P,C,EE A,R,   ,PI, ,FYU,PA,D, ,      ,0560,0050,0110,0100,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D22,LECIB,LECIB,PA,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D22,LECIB,RAVAC,PA,P,C,EE B,R,   ,AF, ,FYU,PA,D, ,      ,0560,0110,3240,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D22, ,RAVAC,PA,P,C,E  I, ,   ,IF, ,FYU,PA,D, ,      ,0560,0110,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D22, ,SKOKI,PA,P,C,E  F, ,   ,CF, ,FYU,PA,D, ,      ,0560,0050,2360,0060,+,01800,     ,     , ,   ,    ,   ,FYU,PA,D, ,A,0, ,S;
APPCH:030,D,D22, ,ZUPVO,PA,P,C,E  M, ,   ,CF, ,FYU,PA,D, ,      ,0560,0011,2360,0039, ,00496,     ,     , ,   ,-314,   , , , , , ,0, ,S;
APPCH:040,D,D22, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2360,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D22, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1000,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D22, ,SKOKI,PA,P,C,E   , ,   ,CF, ,FYU,PA,D, ,      ,0560,0050,0560,0021, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,D,D22, ,SKOKI,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2360,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,R04,CIRMI,CIRMI,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R04,CIRMI,ZETMO,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R04,YENUY,YENUY,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R04,YENUY,ZETMO,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R04,ZETMO,ZETMO,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0400,0040,+,02500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R04, ,ZETMO,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R04, ,EKNAC,PA,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0400,0074,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R04, ,OVEME,PA,P,C,E S , ,   ,TF, , , , , ,      ,    ,    ,0400,0021,+,01320,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R04, ,JIPAV,PA,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,0400,0024, ,00556,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R04, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0400,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R04, ,ZETMO,PA,P,C,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R04, ,ZETMO,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0400,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R22,AWIRO,AWIRO,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,2210,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R22,OSNAE,OSNAE,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R22,OSNAE,AWIRO,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R22,WILAD,WILAD,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R22,WILAD,AWIRO,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R22, ,AWIRO,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R22, ,EYIMO,PA,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,2210,0061,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
