SID:010,5,DGO1S,RW11,RJ601,LE,P,C,EY  , ,   ,CF, ,LPA,LE,D, ,      ,1089,0060,1100,0060, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,5,DGO1S,RW11,LPA,LE,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,5,DGO1S,RW11,INDEL,LE,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DGO1S,RW11,DGO,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DGO1X,RW29,RJ701,LE,P,C,EY  , ,   ,CF, ,LPA,LE,D, ,      ,2909,0050,2900,0050, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,5,DGO1X,RW29,INDEL,LE,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DGO1X,RW29,DGO,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DGO5K,RW29, , , , ,    , ,   ,VD, ,LPA,LE,D, ,      ,    ,    ,2900,0050, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,DGO5K,RW29, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,DGO5K,RW29,INDEL,LE,E,A,E C , ,   ,CF, ,LPA,LE,D, ,      ,2692,0168,2690,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DGO5K,RW29,DGO,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GARV1S,RW11,RJ602,LE,P,C,E   , ,   ,CF, ,LPA,LE,D, ,      ,1092,0087,1100,0080, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:030,5,GARV1S,RW11,RJ603,LE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,GARV1S,RW11,GARVU,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,GARV1X,RW29,RJ701,LE,P,C,EY  , ,   ,CF, ,LPA,LE,D, ,      ,2909,0050,2900,0050, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:030,5,GARV1X,RW29,LPA,LE,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,GARV1X,RW29,GARVU,LE,E,A,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GARV4N,RW11, , , , ,    , ,   ,VD, ,LPA,LE,D, ,      ,    ,    ,1100,0060, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,GARV4N,RW11, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1970,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GARV4N,RW11,GARVU,LE,E,A,EEC , ,   ,CF, ,LPA,LE,D, ,      ,1474,0206,1470,0120,+,FL075,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MIRP1S,RW11,RJ601,LE,P,C,EY  , ,   ,CF, ,LPA,LE,D, ,      ,1089,0060,1100,0060, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:015,5,MIRP1S,RW11,LPA,LE,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
