SID:010,2,MIPU1A,RW31, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3090,    ,+,09500,     ,15000, ,   ,    ,   ,YSJ,OI,D, , , , , ;
SID:020,2,MIPU1A,RW31,YSJ,OI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MIPU1A,RW31,MIPUL,OI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,RADI1A,RW31, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3090,    ,+,09500,     ,15000, ,   ,    ,   ,YSJ,OI,D, , , , , ;
SID:030,2,RADI1A,RW31, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1670,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,RADI1A,RW31,RADID,OI,E,A,EEC , ,   ,CF, ,YSJ,OI,D, ,      ,1963,0179,1970,0030, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MIPU1N,RW13,MIPUL,OI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,YSJ,OI,D, , , , , ;
STAR:020,2,MIPU1N,RW13,YSJ,OI,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,MIPU1N,RW13,D275O,OI,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,RADI1N,RW13,RADID,OI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,YSJ,OI,D, , , , , ;
STAR:020,2,RADI1N,RW13,D197O,OI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,RADI1N,RW13,D275O,OI,P,C,EE H,R,   ,AF, ,YSJ,OI,D, ,      ,2750,0150,1970,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,NDBA,YSJ,YSJ,OI,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,17000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,NDBA,YSJ,YSJ,OI,D,B,EY  , ,   ,FC, ,YSJ,OI,D, ,      ,3154,0006,1410,0090, ,12500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,NDBA,YSJ,FF333,OI,P,C,EE  ,R,   ,CF,Y,YSJ,OI,D, ,      ,1543,0084,3330,0010, ,12500,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,N,NDBA, ,FF333,OI,P,C,E  F, ,   ,IF, ,YSJ,OI,D,B,      ,    ,    ,    ,    , ,12500,     ,17000, ,   ,    ,   ,YSJ,OI,D,B, ,0, ,C;
APPCH:030,N,NDBA, ,YSJ,OI,D,B,E  M, ,   ,CF, ,YSJ,OI,D,B,      ,    ,    ,3330,0090, ,10100,     ,     , ,   , 000,   , , , , , ,0, ,C;
