SID:010,4,AGERS1,RW10L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0960,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:030,4,AGERS1,RW10L,LLBOW,K7,E,A,E   , ,   ,CF, ,FLL,K7,D, ,      ,0863,0052,0750,0020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AGERS1,RW10L,ROOOM,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AGERS1,RW10L,YOLOO,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,AGERS1,RW10L,LRICK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,4,AGERS1,RW10L,AGERS,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AGERS1,RW10R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0960,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AGERS1,RW10R,LLBOW,K7,E,A,E   , ,   ,CF, ,FLL,K7,D, ,      ,0863,0052,0650,0027, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AGERS1,RW10R,ROOOM,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AGERS1,RW10R,YOLOO,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AGERS1,RW10R,LRICK,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,AGERS1,RW10R,AGERS,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AGERS1,RW28L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2760,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AGERS1,RW28L,DREDS,K7,E,A,E   , ,   ,CF, ,FLL,K7,D, ,      ,2849,0033,3000,0024, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AGERS1,RW28L,SHELZ,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AGERS1,RW28L,AGERS,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AGERS1,RW28R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2760,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AGERS1,RW28R,DREDS,K7,E,A,E   , ,   ,CF, ,FLL,K7,D, ,      ,2849,0033,2870,0017, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AGERS1,RW28R,SHELZ,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
