SID:010,5,BTT2,RW20, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1960,    ,+,01546,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BTT2,RW20,ZUVUB,PA,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BTT2,RW20,BTT,PA,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R02,HULUD,HULUD,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,HULUD,NEDNE,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,IYIPE,IYIPE,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,IYIPE,NEDNE,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,NEDNE,NEDNE,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0160,0070,+,06300,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R02, ,NEDNE,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R02, ,KAKGE,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0160,0070,+,04400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R02, ,RW02,PA,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0160,0085, ,01084,     ,     , ,   ,-367,   , , , , , ,A,J,S;
APPCH:040,R,R02, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0160,    ,+,01446,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R02, ,NEDNE,PA,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R02, ,NEDNE,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0160,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,RNVA,UWUJO,UWUJO,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1770,0070,+,07600,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,YUWGE,YUWGE,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,YUWGE,UWUJO,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07600,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,ZAXIM,ZAXIM,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,ZAXIM,UWUJO,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07600,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVA, ,UWUJO,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07600,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVA, ,BIRAC,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1770,0080,+,05400,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:025,R,RNVA, ,WESKA,PA,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1770,0038,+,05280,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:026,R,RNVA, ,CEVAC,PA,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1770,0026,+,04260,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,R,RNVA, ,ITUXE,PA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1770,0032, ,04260,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVA, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1770,    ,+,04260,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVA, ,NEDNE,PA,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNVA, ,NEDNE,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0160,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW02 ,     ,      ,01034, ,    , ,   ;N67145112,W150124121,0000;
RWY:RW20 ,     ,      ,01049, ,    , ,   ;N67152451,W150114692,0000;
