SID:005,2,ABEL5G,RW11,DER11,UR,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,URMM,UR,P,A, , , , ;
SID:010,2,ABEL5G,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1140,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABEL5G,RW11,MD,UR,P,N,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABEL5G,RW11,ABELA,UR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,ABEL5H,RW29,MD,UR,P,N,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,URMM,UR,P,A, , , , ;
SID:030,2,ABEL5H,RW29,ABELA,UR,E,A,EEC , ,   ,CF, ,MNW,UR,D, ,      ,2537,0198,2490,0170,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,ABEL5J,RW11, , , , ,    , ,   ,CD, ,MNW,UR,D, ,      ,    ,    ,1140,0065, ,     ,     ,09000, ,   ,    ,   ,URMM,UR,P,A, , , , ;
SID:020,2,ABEL5J,RW11,MNW,UR,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABEL5J,RW11,ABELA,UR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ABEL5K,RW29,DER29,UR,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,URMM,UR,P,A, , , , ;
SID:010,2,ABEL5K,RW29, , , , ,    , ,   ,CD, ,MNW,UR,D, ,      ,    ,    ,2940,0023, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABEL5K,RW29, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2240,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABEL5K,RW29,ABELA,UR,E,A,EEC , ,   ,CF, ,MNW,UR,D, ,      ,2537,0198,2540,0130,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABEL5L,RW11,MM018,UR,P,C,EY  , ,   ,CF, ,MNW,UR,D, ,      ,1140,0089,1140,0070, ,     ,     ,09000,-,245,    ,   ,URMM,UR,P,A, , , , ;
SID:020,5,ABEL5L,RW11,MM019,UR,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ABEL5L,RW11,MM020,UR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ABEL5L,RW11,ABELA,UR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABEL5M,RW29,MM029,UR,P,C,E   , ,   ,CF, ,MNW,UR,D, ,      ,2943,0101,2940,0110, ,     ,     ,09000,-,245,    ,   ,URMM,UR,P,A, , , , ;
SID:020,5,ABEL5M,RW29,MM030,UR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ABEL5M,RW29,ABELA,UR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL100,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,LARI5G,RW11,DER11,UR,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,URMM,UR,P,A, , , , ;
SID:010,2,LARI5G,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1140,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,LARI5G,RW11,MD,UR,P,N,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LARI5G,RW11, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,0230,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
