SID:010,5,ABEN4R,RW08,SA418,ES,P,C,EY  , ,   ,CF, ,ARL,ES,D, ,      ,0675,0032,0700,0010, ,     ,     ,05000, ,   ,    ,   ,ESSA,ES,P,A, , , , ;
SID:015,5,ABEN4R,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0700,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,ABEN4R,RW08,SA557,ES,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,5,ABEN4R,RW08,ABENI,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ABEN4R,RW08,PETEV,ES,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABEN6Q,RW19L,SA551,ES,E,A,EY  , ,   ,CF, ,ARL,ES,D, ,      ,1495,0024,1830,0006, ,     ,     ,05000, ,   ,    ,   ,ESSA,ES,P,A, , , , ;
SID:020,5,ABEN6Q,RW19L,SA564,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,ABEN6Q,RW19L,SA727,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ABEN6Q,RW19L,ABENI,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ABEN6Q,RW19L,PETEV,ES,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARS4B,RW01R,SA423,ES,P,C,EY  , ,   ,CF, ,ARL,ES,D, ,      ,0188,0056,0040,0055,+,02500,     ,05000, ,   ,    ,   ,ESSA,ES,P,A, , , , ;
SID:030,5,ARS4B,RW01R,SA864,ES,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARS4B,RW01R,ARS,ES,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARS4K,RW26,SA871,ES,P,C,EY  , ,   ,CF, ,ARL,ES,D, ,      ,0054,0001,2500,0007, ,     ,     ,05000, ,   ,    ,   ,ESSA,ES,P,A, , , , ;
SID:015,5,ARS4K,RW26, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2500,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,ARS4K,RW26,SA861,ES,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ARS4K,RW26,ARS,ES,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARS4L,RW08,SA412,ES,P,C,EY  , ,   ,CF, ,ARL,ES,D, ,      ,0678,0037,0700,0016, ,     ,     ,05000, ,   ,    ,   ,ESSA,ES,P,A, , , , ;
SID:015,5,ARS4L,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0700,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,ARS4L,RW08,SA424,ES,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,5,ARS4L,RW08,SA857,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,5,ARS4L,RW08,SA851,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARS4L,RW08,SA723,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
