SID:040,5,IBA1S,RW18L,MM803,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,IBA1S,RW18L,LAG,DN,D, ,V   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,IBA1S,RW18L,IBA,DN,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,ILKE1Q,RW18R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,00470,     ,03500, ,   ,    ,   ,LAG,DN,D, , , , , ;
SID:010,5,ILKE1Q,RW18R,MM800,DN,P,C,E   , ,   ,CF, ,LAG,DN,D, ,      ,1860,0115,1810,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,ILKE1Q,RW18R,MM801,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,ILKE1Q,RW18R,MM803,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ILKE1Q,RW18R,MM804,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ILKE1Q,RW18R,MM505,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ILKE1Q,RW18R,ILKEL,DN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,PISB1Q,RW18R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,00470,     ,03500, ,   ,    ,   ,LAG,DN,D, , , , , ;
SID:020,5,PISB1Q,RW18R,MM800,DN,P,C,E   , ,   ,CF, ,LAG,DN,D, ,      ,1860,0115,1810,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,PISB1Q,RW18R,MM802,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,PISB1Q,RW18R,PISBA,DN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,POLT1Q,RW18R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1810,    ,+,00470,     ,03500, ,   ,    ,   ,LAG,DN,D, , , , , ;
SID:020,5,POLT1Q,RW18R,MM800,DN,P,C,E   , ,   ,CF, ,LAG,DN,D, ,      ,1860,0115,1810,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,POLT1Q,RW18R,MM801,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
