SID:010,2,BCS5A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,00560,     ,05000, ,   ,    ,   ,LCC,LI,D, , , , , ;
SID:020,2,BCS5A,RW32,D319D,LI,P,C,EY  , ,   ,CF, ,LCC,LI,D, ,      ,3190,0040,3190,0030,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BCS5A,RW32, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BCS5A,RW32,D338H,LI,P,C,E   , ,   ,CF, ,LCC,LI,D, ,      ,3377,0080,3380,0010,-,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BCS5A,RW32,BCS,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BCS5C,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,00560,     ,05000, ,   ,    ,   ,LCC,LI,D, , , , , ;
SID:015,2,BCS5C,RW14,D144E,LI,P,C,EY  , ,   ,CF, ,LCC,LI,D, ,      ,1440,0050,1440,0030,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BCS5C,RW14,D338H,LI,P,C,E   ,L,   ,CF,Y,LCC,LI,D, ,      ,3377,0080,3120,0130,-,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BCS5C,RW14,BCS,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GEMV5A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,00560,     ,05000, ,   ,    ,   ,LCC,LI,D, , , , , ;
SID:020,2,GEMV5A,RW32,D319D,LI,P,C,EY  , ,   ,CF, ,LCC,LI,D, ,      ,3190,0040,3190,0030,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GEMV5A,RW32, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GEMV5A,RW32,D189Y,LI,P,C,E   , ,   ,CF, ,LCC,LI,D, ,      ,1890,0250,1890,0180,-,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GEMV5A,RW32,LCC34,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,GEMV5A,RW32,GEMVI,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GEMV5B,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3220,    ,+,00560,     ,05000, ,   ,    ,   ,LCC,LI,D, , , , , ;
SID:020,2,GEMV5B,RW32,D319D,LI,P,C,EY  , ,   ,CF, ,LCC,LI,D, ,      ,3190,0040,3190,0030,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GEMV5B,RW32, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1900,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GEMV5B,RW32,D237O,LI,P,C,E   , ,   ,CF, ,LCC,LI,D, ,      ,2370,0150,2370,0070,-,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GEMV5B,RW32,D237R,LI,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:055,2,GEMV5B,RW32, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,GEMV5B,RW32,D198U,LI,P,C,EY  ,L,   ,AF, ,LCC,LI,D, ,      ,1979,0210,2370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:065,2,GEMV5B,RW32, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1590,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,GEMV5B,RW32,LCC34,LI,P,C,E   , ,   ,CF, ,LCC,LI,D, ,      ,1886,0340,1890,0090,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,GEMV5B,RW32,GEMVI,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GEMV5C,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,00560,     ,05000, ,   ,    ,   ,LCC,LI,D, , , , , ;
SID:020,2,GEMV5C,RW14,D144E,LI,P,C,EY  , ,   ,CF, ,LCC,LI,D, ,      ,1440,0050,1440,0030,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GEMV5C,RW14, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2190,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GEMV5C,RW14,D189Y,LI,P,C,E   , ,   ,CF, ,LCC,LI,D, ,      ,1886,0250,1890,0140,-,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GEMV5C,RW14,LCC34,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,GEMV5C,RW14,GEMVI,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GEMV5D,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1420,    ,+,00560,     ,05000, ,   ,    ,   ,LCC,LI,D, , , , , ;
SID:020,2,GEMV5D,RW14,D144E,LI,P,C,EY  , ,   ,CF, ,LCC,LI,D, ,      ,1440,0050,1440,0030,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GEMV5D,RW14, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,2800,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
