APPCH:010,A,I36,IRK,IRK,K3,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I36,IRK,UCAKA,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I36,IRK,UCAKA,K3,P,C,EE A,R,   ,PI, ,IRK,K3,D, ,      ,1583,0079,1320,0100,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I36,JURIX,JURIX,K3,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I36,JURIX,D158O,K3,P,C,E   ,R,   ,AF, ,IRK,K3,D, ,      ,1580,0150,0590,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I36,JURIX, , , , , E  , ,   ,VI, ,IIRK,K3,P,I,      ,    ,    ,3270,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I36,KIVDE,KIVDE,K3,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I36,KIVDE,D174O,K3,P,C,E   ,L,   ,AF, ,IRK,K3,D, ,      ,1740,0150,2370,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I36,KIVDE, , , , , E  , ,   ,VI, ,IIRK,K3,P,I,      ,    ,    ,0270,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I36, ,HOROK,K3,P,C,E  I, ,   ,IF, ,IIRK,K3,P,I,      ,1775,0130,    ,    ,J,03000,02500,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I36, ,UCAKA,K3,P,C,E  F, ,   ,CF, ,IIRK,K3,P,I,      ,1775,0058,3570,0072,H,02500,02500,     , ,   ,-300,   ,IRK,K3,D, , ,0,D,S;
APPCH:030,I,I36, ,RW36,K3,P,G,G  M, ,   ,CF, ,IIRK,K3,P,I,      ,1775,0012,3570,0046, ,01018,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I36, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3570,    ,+,01600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:045,I,I36, , , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2700,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I36, ,KIVDE,K3,E,A,E   , ,   ,CF, ,IRK,K3,D, ,      ,2374,0150,2370,0143,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I36, ,KIVDE,K3,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2370,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,R18,DELOO,DELOO,K3,E,A,EE C,R,   ,HF, , , , , ,      ,    ,    ,1770,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R18,ITOCI,ITOCI,K3,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R18,ITOCI,DELOO,K3,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R18,ZESUR,ZESUR,K3,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R18,ZESUR,DELOO,K3,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R18, ,DELOO,K3,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R18, ,WOGED,K3,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1770,0076,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R18, ,RW18,K3,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1770,0046, ,01011,     ,     , ,   ,-304,   , , , , , ,B,J,S;
APPCH:040,R,R18, ,HOROK,K3,P,C,EYM , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R18, ,HOROK,K3,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,3570,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R36,HOROK,HOROK,K3,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,3570,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R36,JISDU,JISDU,K3,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
