SID:005,2,BAG1F,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,03060,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:010,2,BAG1F,RW11L, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,1000,0030,+,03300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BAG1F,RW11L,BAG,LT,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,2,BAG1G,RW29R, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,2900,0030, ,     ,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:020,2,BAG1G,RW29R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2900,    ,+,03400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAG1G,RW29R,BAG,LT,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:005,2,HAY1F,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,03060,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:010,2,HAY1F,RW11L, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,1000,0030,+,03300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,HAY1F,RW11L,ETI,LT,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,HAY1F,RW11L,HAY,LT,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,HAY1G,RW29R, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,2900,0030, ,     ,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:020,2,HAY1G,RW29R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2900,    ,+,03400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,HAY1G,RW29R,HAY,LT,D,B,EE  ,L,   ,CF, ,BAG,LT,D, ,      ,1952,0404,1780,0310,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,2,HAY1H,RW29R, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,2900,0030,+,03400,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:020,2,HAY1H,RW29R,ETI,LT,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,HAY1H,RW29R,HAY,LT,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PETA1P,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,03060,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:020,2,PETA1P,RW11L, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,1000,0030,+,03300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PETA1P,RW11L,ETI,LT,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,PETA1P,RW11L,PETAR,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PETA1R,RW29R, , , , ,    , ,   ,CD, ,ETI,LT,D, ,      ,    ,    ,2880,0030, ,     ,     ,10000, ,   ,    ,   ,ETI,LT,D, , , , , ;
SID:020,2,PETA1R,RW29R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,03400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PETA1R,RW29R,PETAR,LT,E,A,EE  , ,   ,CF, ,ETI,LT,D, ,      ,2893,0302,2890,0260, ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
APPCH:010,A,VDMA,KUZDA,KUZDA,LT,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,07000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDMA,KUZDA,D221R,LT,P,C,E   , ,   ,CF, ,BAG,LT,D, ,      ,2210,0180,0410,0020,+,06300,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VDMA,KUZDA,D221O,LT,P,C,E   , ,   ,CF, ,BAG,LT,D, ,      ,2210,0150,0410,0030,+,05400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:040,A,VDMA,KUZDA,FD041,LT,P,C,EE  , ,   ,CF, ,BAG,LT,D, ,      ,2210,0130,0410,0020,+,05400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,D,VDMA, ,FD041,LT,P,C,E  F, ,   ,IF, ,BAG,LT,D, ,      ,2210,0130,    ,    ,+,05400,     ,     , ,   ,    ,   ,BAG,LT,D, , ,0, ,C;
APPCH:030,D,VDMA, ,MD041,LT,P,C,E  M, ,   ,CF, ,BAG,LT,D, ,      ,2210,0095,0410,0035, ,04100,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,D,VDMA, ,D221F,LT,P,C,EYM , ,   ,CF, ,BAG,LT,D, ,      ,2210,0060,0410,0035, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,D,VDMA, ,KUZDA,LT,P,C,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     ,-,230,    ,   , , , , , ,0, ,C;
RWY:RW11L,     ,      ,02651, ,IETI,1,   ;N39573132,E032395656,0000;
RWY:RW11R,     ,      ,02640, ,    , ,   ;N39570347,E032405488,0000;
RWY:RW29L,     ,      ,02652, ,    , ,   ;N39564420,E032415182,0000;
RWY:RW29R,     ,      ,02653, ,    , ,   ;N39565239,E032415238,0000;
