APPCH:020,D,D06, ,SOKOK,OE,P,C,E  F, ,   ,IF, ,KAM,OE,D, ,      ,2394,0074,    ,    ,+,08300,     ,15000, ,   ,    ,   ,KAM,OE,D, ,A,0, ,S;
APPCH:025,D,D06, ,50VOR,OE,P,C,E S , ,   ,CF, ,KAM,OE,D, ,      ,2394,0050,0590,0024,+,07540,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:030,D,D06, ,MD06,OE,P,C,E  M, ,   ,CF, ,KAM,OE,D, ,      ,2390,0030,0590,0020, ,06906,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D06, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0590,    ,+,07180,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D06, , , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D06, ,MURAM,OE,P,C,E   , ,   ,CF, ,KAM,OE,D, ,      ,3300,0250,3300,0250, ,12000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D06, ,MURAM,OE,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1500,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:005,A,D14,ABH,ABH,OE,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D14,ABH,KAM,OE,D, ,V  A, ,   ,CF, ,KAM,OE,D, ,      ,0000,0000,0640,0097,+,10000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D14,ABH,D338N,OE,P,C,E   , ,   ,CF, ,KAM,OE,D, ,      ,3382,0140,3380,0140,+,09000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D14,ABH,D314N,OE,P,C,E   ,L,   ,AF, ,KAM,OE,D, ,      ,3140,0140,3380,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
