STAR:040,4,BANGZ2,HEVVN,CORRL,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BANGZ2,HEVVN,BANGZ,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,07000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BANGZ2,HONID,HONID,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BANGZ2,HONID,THRTL,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BANGZ2,HONID,HEVVN,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BANGZ2,HONID,CLAMP,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BANGZ2,HONID,LALAA,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BANGZ2,HONID,CORRL,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BANGZ2,HONID,BANGZ,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,07000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,BANGZ2,ALL,BANGZ,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,13000,07000,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,BANGZ2,ALL,KIDLE,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
