SID:010,5,ABLO2D,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0460,    ,+,00700,     ,03500, ,   ,    ,   ,URRP,UR,P,A, , , , ;
SID:020,5,ABLO2D,RW05,RP329,UR,P,C,E   , ,   ,CF, ,ROS,UR,D, ,      ,0370,0183,0350,0170, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ABLO2D,RW05,ABLOG,UR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABLO3E,RW23,DER23,UR,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03500, ,   ,    ,   ,URRP,UR,P,A, , , , ;
SID:020,5,ABLO3E,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2260,    ,+,00700,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,5,ABLO3E,RW23,RP333,UR,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ABLO3E,RW23,ABLOG,UR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMEP2D,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0460,    ,+,00700,     ,03500,-,230,    ,   ,URRP,UR,P,A, , , , ;
SID:020,5,AMEP2D,RW05,AMEPU,UR,E,A,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMEP2M,RW23,RP337,UR,P,C,EYC , ,   ,CF, ,ROS,UR,D, ,      ,2244,0037,2260,0030, ,     ,     ,03500, ,   ,    ,   ,URRP,UR,P,A, , , , ;
SID:020,5,AMEP2M,RW23,AMEPU,UR,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMEP3E,RW23,DER23,UR,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03500, ,   ,    ,   ,URRP,UR,P,A, , , , ;
SID:020,5,AMEP3E,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2260,    ,+,00700,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,5,AMEP3E,RW23,RP346,UR,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,235,    ,   , , , , , , , , ;
SID:040,5,AMEP3E,RW23,RP333,UR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AMEP3E,RW23,RP334,UR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,245,    ,   , , , , , , , , ;
SID:060,5,AMEP3E,RW23,AMEPU,UR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
