SID:010,1,HSR2,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0120,    ,+,03550,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,HSR2,RW01, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0260,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,HSR2,RW01,HIRUG,K3,P,C,E   , ,   ,CF, ,RAP,K3,D, ,      ,1900,0290,0100,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,HSR2,RW01,RAP,K3,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,HSR2,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1920,    ,+,03550,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,HSR2,RW19, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,HSR2,RW19,HIRUG,K3,P,C,E   , ,   ,CF, ,RAP,K3,D, ,      ,1900,0290,0100,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,HSR2,RW19,RAP,K3,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TST2,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0120,    ,+,03550,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TST2,RW01, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0260,    ,+,03700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TST2,RW01, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2050,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,TST2,RW01,MARYJ,K3,E,A,E  H, ,   ,CF, ,TST,K3,D, ,      ,3330,0362,1530,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,TST2,RW01,TST,K3,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TST2,RW19, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1920,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TST2,RW19,MARYJ,K3,E,A,E  H, ,   ,CF, ,TST,K3,D, ,      ,3330,0362,1530,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TST2,RW19,TST,K3,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R01,WOTEP,WOTEP,K3,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0120,0070,+,06600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R01, ,WOTEP,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R01, ,ZEKEB,K3,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0120,0075,+,05000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
