SID:010,5,PORU1P,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2940,    ,+,01550,     ,13000, ,   ,    ,   ,NZWF,NZ,P,A, , , , ;
SID:020,5,PORU1P,RW29,NIRUK,NZ,P,C,EY  , ,010,CF, ,CH,NZ,D, ,      ,2182,1596,2940,0020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,PORU1P,RW29,PILAD,NZ,P,C,E   ,R,010,CF,Y,CH,NZ,D, ,      ,2143,1568,1230,0120, ,     ,     ,     ,-,150,    ,   , , , , , , , , ;
SID:040,5,PORU1P,RW29,KAKVA,NZ,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,PORU1P,RW29,UBMET,NZ,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,PORU1P,RW29,PORUT,NZ,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,PORU1Q,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1140,    ,+,01550,     ,13000, ,   ,    ,   ,NZWF,NZ,P,A, , , , ;
SID:020,5,PORU1Q,RW11,KAKVA,NZ,P,C,E   , ,010,CF, ,CH,NZ,D, ,      ,2132,1562,1140,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,PORU1Q,RW11,UBMET,NZ,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,PORU1Q,RW11,PORUT,NZ,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,TIMJ1P,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2940,    ,+,01550,     ,13000, ,   ,    ,   ,NZWF,NZ,P,A, , , , ;
