SID:010,2,BIMS3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,BIMS3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BIMS3E,RW14, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,0320,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BIMS3E,RW14,BIMSO,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,0716,0644,0720,0570,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BIMS3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,BIMS3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BIMS3F,RW32, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,1120,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BIMS3F,RW32,BIMSO,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,0716,0644,0720,0520,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BUDE3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,BUDE3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:017,2,BUDE3E,RW14, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2050,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BUDE3E,RW14,BUDER,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,1748,0587,1750,0530,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BUDE3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,BUDE3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BUDE3F,RW32, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BUDE3F,RW32,BUDER,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,1748,0587,1750,0550,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOKU3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,DOKU3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DOKU3E,RW14, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0680,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOKU3E,RW14,DOKUT,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,0974,0640,0980,0560,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOKU3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,DOKU3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DOKU3F,RW32, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,1380,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DOKU3F,RW32,DOKUT,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,0974,0640,0980,0550,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOPA3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:020,2,DOPA3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,DOPA3E,RW14, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2200,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DOPA3E,RW14,DOPAN,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,1895,0638,1900,0580,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DOPA3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,DOPA3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DOPA3F,RW32, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DOPA3F,RW32,DOPAN,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,1895,0638,1900,0570,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LANO3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,LANO3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,LANO3E,RW14, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,3580,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LANO3E,RW14,LANOR,UA,E,A,EEC , ,   ,CF, ,KST,UA,D, ,      ,3173,0630,3180,0610,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LANO3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:020,2,LANO3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LANO3F,RW32,LANOR,UA,E,A,EEC , ,   ,CF, ,KST,UA,D, ,      ,3173,0630,3170,0580,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NELT3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,NELT3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,NELT3E,RW14, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3280,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NELT3E,RW14,NELTI,US,E,A,EEC , ,   ,CF, ,KST,UA,D, ,      ,0070,0731,0070,0690,B,FL200,FL150,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NELT3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,NELT3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,NELT3F,RW32, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NELT3F,RW32,NELTI,US,E,A,EEC , ,   ,CF, ,KST,UA,D, ,      ,0070,0731,0070,0560,B,FL200,FL150,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,TITU3E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,TITU3E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,TITU3E,RW14, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,3070,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,TITU3E,RW14,TITUR,UA,E,A,EEC , ,   ,CF, ,KST,UA,D, ,      ,2664,0876,2670,0840,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,TITU3F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,TITU3F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,TITU3F,RW32, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,TITU3F,RW32,TITUR,UA,E,A,EEC , ,   ,CF, ,KST,UA,D, ,      ,2664,0876,2670,0710,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,UNIB2E,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1440,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,UNIB2E,RW14, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,1440,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,UNIB2E,RW14,UNIBE,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,1288,0605,1280,0580,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,UNIB2F,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3240,    ,+,01300,     ,10000, ,   ,    ,   ,KST,UA,D, , , , , ;
SID:015,2,UNIB2F,RW32, , , , ,    , ,   ,CD, ,KST,UA,D, ,      ,    ,    ,3240,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,UNIB2F,RW32, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,1690,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,UNIB2F,RW32,UNIBE,UA,E,A,EE  , ,   ,CF, ,KST,UA,D, ,      ,1288,0605,1290,0560,B,FL200,FL120,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,AKOS3G,RW14,AKOSO,UA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL200,FL120,     , ,   ,    ,   ,KST,UA,D, , , , , ;
