SID:010,4,ALETU1,RW02, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,022T,    ,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,ALETU1,RW02,ALETU,CY,E,A,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,4,ALETU1,RW20, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,202T,    ,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,ALETU1,RW20,ALETU,CY,E,A,EE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,230,    ,   , , , , , , , , ;
APPCH:010,A,NBAT,YIO,YIO,CY,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,NBAT,YIO,YIO,CY,D,B,E   ,L,   ,PI, ,YIO,CY,D,B,      ,0000,0000,295T,0100,+,01600,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,NBAT,YIO,FF070,CY,P,C,EE  , ,   ,CF, ,YIO,CY,D,B,      ,2500,0033,070T,0067,+,01600,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,N,NBAT, ,FF070,CY,P,C,E  F, ,   ,IF, ,YIO,CY,D,B,      ,    ,    ,    ,    ,+,01600,     ,18000, ,   ,    ,   ,YIO,CY,D,B, ,0, ,C;
APPCH:030,N,NBAT, ,YIO,CY,D,B,E  M, ,   ,CF, ,YIO,CY,D,B,      ,    ,    ,070T,0033, ,00760,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,N,NBAT, , , , , ,  M ,L,   ,VA,Y, , , , ,      ,    ,    ,250T,    ,+,04700,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,N,NBAT, ,YIO,CY,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04700,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,N,NBAT, ,YIO,CY,D,B,EE H,L,   ,HM, , , , , ,      ,    ,    ,070T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,0, ,C;
APPCH:010,A,R02,KIPUN,KIPUN,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,KIPUN,VILNI,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,LIVRA,LIVRA,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,LIVRA,VILNI,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,VILNI,VILNI,CY,P,C,EE H,R,010,HF, , , , , ,      ,    ,    ,022T,T010, ,     ,     ,18000,-,200,    ,   , , , , , ,A,J,S;
APPCH:010,R,R02, ,VILNI,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R02, ,ETBUT,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,022T,0060,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R02, ,RW02,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,022T,0060, ,00255,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:040,R,R02, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,022T,    ,+,00610,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R02, ,LIVRA,CY,P,C,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,03900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R02, ,LIVRA,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,112T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,VIDPA,VIDPA,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R20,VIDPA,IKBER,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R20,VIDPA,SAVUV,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,VIGTI,VIGTI,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R20,VIGTI,IRLET,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
