SID:010,2,ALCO2X,RW10, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0980,    ,+,02000,     ,06000, ,   ,    ,   ,AOG,LE,D, ,B, , , ;
SID:020,2,ALCO2X,RW10,D094Z,LE,P,C,E   , ,   ,CF, ,AOG,LE,D, ,      ,0939,0265,0940,0230, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALCO2X,RW10,MRN,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ALCO2X,RW10,ALCOL,LE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ALCO2Y,RW28, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2780,    ,+,02000,     ,06000, ,   ,    ,   ,AOG,LE,D, ,B, , , ;
SID:020,2,ALCO2Y,RW28, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,0640,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALCO2Y,RW28,D094Z,LE,P,C,E   , ,   ,CF, ,AOG,LE,D, ,      ,0939,0265,0940,0240, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ALCO2Y,RW28,MRN,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ALCO2Y,RW28,ALCOL,LE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,HIJ2Y,RW10, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0980,    ,+,02000,     ,06000, ,   ,    ,   ,AOG,LE,D, ,B, , , ;
SID:020,2,HIJ2Y,RW10, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,3000,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,HIJ2Y,RW10,ALAOS,LE,P,C,E   , ,   ,CF, ,AOG,LE,D, ,      ,3450,0352,3450,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,HIJ2Y,RW10,ROCIO,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,HIJ2Y,RW10,ARROS,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,HIJ2Y,RW10,HIJ,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,HIJ2Z,RW28, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2780,    ,+,02000,     ,06000, ,   ,    ,   ,AOG,LE,D, ,B, , , ;
SID:020,2,HIJ2Z,RW28, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,0300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,HIJ2Z,RW28,ALAOS,LE,P,C,E   , ,   ,CF, ,AOG,LE,D, ,      ,3450,0352,3450,0280, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,HIJ2Z,RW28,ROCIO,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,HIJ2Z,RW28,ARROS,LE,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,HIJ2Z,RW28,HIJ,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MGA2V,RW28, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2780,    ,+,02000,     ,06000, ,   ,    ,   ,AOG,LE,D, ,B, , , ;
SID:020,2,MGA2V,RW28, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1170,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
