SID:010,4,BIXAD2,RW01L,OSOKO,YB,P,C,E   , ,010,CF, ,BN,YB,D, ,      ,0106,0114,0160,0110, ,     ,     ,10000, ,   ,    ,   ,YBBN,YB,P,A, , , , ;
SID:020,4,BIXAD2,RW01L,BUKBU,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BIXAD2,RW01L,BIXAD,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BIXAD2,RW01R, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0160,    ,+,00600,     ,10000, ,   ,    ,   ,YBBN,YB,P,A, , , , ;
SID:020,4,BIXAD2,RW01R,BEERN,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BIXAD2,RW01R,OLMAL,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BIXAD2,RW01R,KAKEB,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BIXAD2,RW01R,OBDES,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:060,4,BIXAD2,RW01R,UPRIG,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,285,    ,   , , , , , , , , ;
SID:070,4,BIXAD2,RW01R,BAABA,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,290,    ,   , , , , , , , , ;
SID:080,4,BIXAD2,RW01R,BUKBU,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,4,BIXAD2,RW01R,BIXAD,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BIXAD2,RW19L,CITEE,YB,P,C,EY  , ,010,CF, ,BN,YB,D, ,      ,1962,0070,1960,0045, ,     ,     ,10000, ,   ,    ,   ,YBBN,YB,P,A, , , , ;
SID:020,4,BIXAD2,RW19L,TOGIN,YB,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BIXAD2,RW19L,ALBUB,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
