SID:010,2,COCOS1,RW20, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2040,    ,+,01000,     ,03000, ,   ,    ,   ,PUL,SP,D, , , , , ;
SID:020,2,COCOS1,RW20,COCOS,SP,E,A,EEC , ,   ,CF, ,PUL,SP,D, ,      ,2410,0550,2410,0540,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MIKA1A,RW02,MIKAR,SP,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   ,PUL,SP,D, , , , , ;
STAR:020,2,MIKA1A,RW02,MIKAR,SP,E,A,E   , ,   ,FD, ,PUL,SP,D, ,      ,2121,0548,0530,0400, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,MIKA1A,RW02,LOGOR,SP,E,A,EECH, ,   ,CF, ,PUL,SP,D, ,      ,2044,0159,0250,0241,+,FL040,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,MIKA1B,RW02,MIKAR,SP,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   ,RW02,SP,P,G, , , , ;
STAR:020,5,MIKA1B,RW02,CL401,SP,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,MIKA1B,RW02,LOGOR,SP,E,A,EECH, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL040,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D02-U,PUL,PUL,SP,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D02-U,PUL,PUL,SP,D, ,V   , ,   ,FD, ,PUL,SP,D, ,      ,0000,0000,2230,0060,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D02-U,PUL,FF02,SP,P,C,EE  ,L,   ,CF,Y,PUL,SP,D, ,      ,2050,0060,0250,0010,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D02-U, ,FF02,SP,P,C,E  F, ,   ,IF, ,PUL,SP,D, ,      ,2050,0060,    ,    ,+,01000,     ,     , ,   ,    ,   ,PUL,SP,D, , ,0, ,S;
APPCH:030,D,D02-U, ,RW02,SP,P,G,G  M, ,   ,CF, ,PUL,SP,D, ,      ,2084,0009,0250,0051, ,00566,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D02-U, , , , , , EM , ,   ,CA, , , , , ,      ,    ,    ,0240,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D02-V,PUL,PUL,SP,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D02-V,PUL,PUL,SP,D, ,V   , ,   ,FD, ,PUL,SP,D, ,      ,0000,0000,2350,0070,+,02160,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D02-V,PUL,DAKUX,SP,P,C,EEC ,L,   ,CF,Y,PUL,SP,D, ,      ,2047,0059,0250,0010,+,02160,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D02-V, ,DAKUX,SP,P,C,E CF, ,   ,IF, ,PUL,SP,D, ,      ,2047,0059,    ,    ,+,02160,     ,     , ,   ,    ,   ,PUL,SP,D, , ,0, ,S;
APPCH:030,D,D02-V, ,RW02,SP,P,G,G  M, ,   ,CF, ,PUL,SP,D, ,      ,2084,0009,0250,0050, ,00566,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D02-V, , , , , , EM , ,   ,CA, , , , , ,      ,    ,    ,0240,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D02-W,LOGOR,LOGOR,SP,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D02-W,LOGOR,ESAMU,SP,P,C,EECB, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D02-W, ,ESAMU,SP,P,C,E CI, ,   ,IF, ,PUL,SP,D, ,      ,2044,0109,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D02-W, ,DAKUX,SP,P,C,E CF, ,   ,CF, ,PUL,SP,D, ,      ,2047,0059,0250,0050,+,02160,     ,     , ,   ,    ,   ,PUL,SP,D, , ,0, ,S;
APPCH:030,D,D02-W, ,RW02,SP,P,G,G  M, ,   ,CF, ,PUL,SP,D, ,      ,2084,0009,0250,0050, ,00566,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D02-W, , , , , , EM , ,   ,CA, , , , , ,      ,    ,    ,0240,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D20-A,TIMBU,TIMBU,SP,P,C,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D20-A,TIMBU,NEGIS,SP,P,C,EECB, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D20-A, ,NEGIS,SP,P,C,E CI, ,   ,IF, ,PUL,SP,D, ,      ,0236,0106,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D20-A, ,GAVOR,SP,P,C,E CF, ,   ,CF, ,PUL,SP,D, ,      ,0234,0056,2040,0050,+,02160,     ,     , ,   ,    ,   ,PUL,SP,D, , ,0, ,S;
APPCH:030,D,D20-A, ,RW20,SP,P,G,G  M, ,   ,CF, ,PUL,SP,D, ,      ,0174,0006,2040,0050, ,00566,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D20-A, , , , , , EM , ,   ,CA, , , , , ,      ,    ,    ,2040,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW02 ,     ,      ,00516, ,    , ,   ;S08232341,W074344315,0000;
RWY:RW20 ,     ,      ,00516, ,    , ,   ;S08215776,W074341180,0000;
