APPCH:020,R,R32, ,OTUGA,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3170,0060,+,01900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R32, ,RW32,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,3170,0041, ,00600,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R32, ,XORAM,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R32, ,XORAM,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,3170,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,A,J,S;
APPCH:010,A,VORB,URNUX,URNUX,CY,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VORB,URNUX,OMROG,CY,P,C,EE B,L,   ,AF, ,YFS,CY,D, ,      ,2749,0100,3070,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VORB,YFS,YFS,CY,D, ,VE  ,R,   ,PI, ,YFS,CY,D, ,      ,0000,0000,2300,0100,+,01900,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,V,VORB, ,OMROG,CY,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,V,VORB, ,YFS,CY,D, ,V  F, ,   ,CF, ,YFS,CY,D, ,      ,0000,0000,0950,0100,+,01500,     ,     , ,   ,    ,   ,YFS,CY,D, , ,0, ,C;
APPCH:030,V,VORB, ,MA095,CY,P,C,E  M, ,   ,CF, ,YFS,CY,D, ,      ,0948,0016,0950,0016, ,01160,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,V,VORB, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0950,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,V,VORB, ,YFS,CY,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02200,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,V,VORB, ,YFS,CY,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0950,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
RWY:RW14 ,     ,      ,00544, ,    , ,   ;N61460351,W121143695,0000;
RWY:RW32 ,     ,      ,00550, ,    , ,   ;N61450959,W121134605,0000;
