SID:010,1,CHATY5,RW06B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0710,    ,+,00530,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,CHATY5,RW06B, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0410,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,CHATY5,RW06B,CHATY,K2,E,A,EE  , ,   ,CF, ,LAX,K2,D, ,      ,3229,0200,3230,0150,+,05400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,CHATY5,RW07B, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0710,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,CHATY5,RW07B,CHATY,K2,E,A,EE  , ,   ,CF, ,LAX,K2,D, ,      ,3229,0200,3230,0150,+,05400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,CHATY5,GMN,CHATY,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05400,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:030,3,CHATY5,GMN,CASTA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,CHATY5,GMN,GMN,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,CHATY5,HENER,CHATY,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05400,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,CHATY5,HENER,JOSUL,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,CHATY5,HENER,FIM,K2,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,CHATY5,HENER,HENER,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,CHATY5,KWANG,CHATY,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05400,     ,18000, ,   ,    ,   , , , , , , , , ;
