SID:010,2,DEP15,RW15, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1490,    ,+,05000,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,2,DEP15,RW15, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1490,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DEP33,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3290,    ,+,05000,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,2,DEP33,RW33, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3290,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D15,D059O,D059O,OE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D15,D059O,GOKDU,OE,P,C,E   ,L,   ,AF, ,GAS,OE,D, ,      ,0414,0150,0590,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D15,D059O,CD15,OE,P,C,EE B,L,   ,AF, ,GAS,OE,D, ,      ,3238,0150,0420,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D15,D257O,D257O,OE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D15,D257O,D272O,OE,P,C,E   ,R,   ,AF, ,GAS,OE,D, ,      ,2716,0150,2570,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D15,D257O,CD15,OE,P,C,EE B,R,   ,AF, ,GAS,OE,D, ,      ,3238,0150,2720,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D15,D272O,D272O,OE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D15,D272O,CD15,OE,P,C,EE B,R,   ,AF, ,GAS,OE,D, ,      ,3238,0150,2720,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D15,D298O,D298O,OE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D15,D298O,CD15,OE,P,C,EE B,R,   ,AF, ,GAS,OE,D, ,      ,3238,0150,2980,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D15,D352O,D352O,OE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D15,D352O,CD15,OE,P,C,EE B,L,   ,AF, ,GAS,OE,D, ,      ,3238,0150,3520,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D15,GAS,GAS,OE,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D15,GAS,D324J,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D15,GAS,D324J,OE,P,C,EY  , ,   ,FC, ,GAS,OE,D, ,      ,3240,0100,0090,0043, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D15,GAS,CD15,OE,P,C,EE B,L,   ,CF,Y,GAS,OE,D, ,      ,3238,0150,1440,0010,+,05000,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:010,A,D15,GOKDU,GOKDU,OE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,15000, ,   ,    ,   , , , , , ,0, ,S;
