SID:010,5,BOKP1N,RW03,FI418,GM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,BOKP1N,RW03,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BOKP1N,RW03,ALKIX,GM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BOKP1N,RW03,BOKPA,GM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BOKP1P,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,07200,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,BOKP1P,RW21,FI420,GM,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL120,09000,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,BOKP1P,RW21,FI418,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BOKP1P,RW21,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BOKP1P,RW21,ALKIX,GM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BOKP1P,RW21,BOKPA,GM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DEMU1N,RW03,FI418,GM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,DEMU1N,RW03,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DEMU1N,RW03,DEMUM,GM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DEMU1P,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,07200,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,DEMU1P,RW21,FI420,GM,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL120,09000,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,DEMU1P,RW21,FI418,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DEMU1P,RW21,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DEMU1P,RW21,DEMUM,GM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,FES1N,RW03,FI418,GM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,FES1N,RW03,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,FES1N,RW03,FES,GM,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,FES1P,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,07200,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,FES1P,RW21,FI420,GM,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL120,09000,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,FES1P,RW21,FI418,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,FES1P,RW21,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,FES1P,RW21,FES,GM,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,VAXA1N,RW03,FI418,GM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,GMFI,GM,P,A, , , , ;
SID:020,5,VAXA1N,RW03,FI440,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,VAXA1N,RW03,VAXAM,GM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
