SID:010,5,EVKO2B,RW02R, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0200,    ,+,00500,     ,07000, ,   ,    ,   ,SBRJ,SB,P,A,C, , , ;
SID:020,5,EVKO2B,RW02R,RJ912,SB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EVKO2B,RW02R,MALDU,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,EVKO2B,RW02R,UTGAT,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EVKO2B,RW02R,EVKOX,SB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL080,05000,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,EVKO2B,BITAK,EVKOX,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,B,FL080,05000,07000, ,   ,    ,   ,SBRJ,SB,P,A,C, , , ;
SID:020,6,EVKO2B,BITAK,TIVRO,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,EVKO2B,BITAK,BITAK,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,EVKO2B,ESORU,EVKOX,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,B,FL080,05000,07000, ,   ,    ,   ,SBRJ,SB,P,A,C, , , ;
SID:020,6,EVKO2B,ESORU,DOVDA,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,EVKO2B,ESORU,EVLOG,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,EVKO2B,ESORU,RJ003,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
