APPCH:010,A,R02,DEALS,DEALS,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,DEALS,ZEBAD,PA,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R02,DEALS,YULUP,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,MODDS,MODDS,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,MODDS,ZEBAD,PA,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R02,MODDS,YULUP,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,YULUP,YULUP,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0160,0040,+,01700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R02, ,YULUP,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R02, ,WOSTO,PA,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0160,0061,+,01700,     ,     , ,   ,    ,   ,VIBBU,PA,P,C, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R02, ,VIBBU,PA,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,0160,0044, ,00305,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R02, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0160,    ,+,00500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R02, ,RUROC,PA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R02, ,RUROC,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1960,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,DEALS,DEALS,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R20,DEALS,TECOD,PA,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R20,DEALS,RUROC,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,MODDS,MODDS,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R20,MODDS,TECOD,PA,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R20,MODDS,RUROC,PA,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,RUROC,RUROC,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1960,0040,+,01700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R20, ,RUROC,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R20, ,NUGIC,PA,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,1960,0061,+,01700,     ,     , ,   ,    ,   ,PIVIY,PA,P,C, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R20, ,PIVIY,PA,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,1960,0044, ,00305,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R20, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1960,    ,+,00420,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R20, ,YULUP,PA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R20, ,YULUP,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0160,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,S02,DEALS,DEALS,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S02,DEALS,MDO,PA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S02,DEALS,MDO,PA,D, ,V  A,R,   ,PI, ,MDO,PA,D, ,      ,0000,0000,1570,0100,+,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,S02,DEALS,MDO,PA,D, ,VE  , ,   ,CF, ,MDO,PA,D, ,      ,0000,0000,0220,0080,+,00700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S02,MODDS,MODDS,PA,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S02,MODDS,MDO,PA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S02,MODDS,MDO,PA,D, ,V  A,R,   ,PI, ,MDO,PA,D, ,      ,0000,0000,1570,0100,+,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,S02,MODDS,MDO,PA,D, ,VE  , ,   ,CF, ,MDO,PA,D, ,      ,0000,0000,0220,0080,+,00700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S02, ,MDO,PA,D, ,V  F, ,   ,IF, ,MDO,PA,D, ,      ,0000,0000,    ,    ,+,00700,     ,18000, ,   ,    ,   ,MDO,PA,D, , ,0, ,S;
APPCH:030,S,S02, ,RW02,PA,P,G,G  M, ,   ,CF, ,MDO,PA,D, ,      ,0222,0018,0220,0018, ,00145,     ,     , ,   ,-297,   , , , , , ,0, ,S;
APPCH:040,S,S02, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0220,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S02, ,MDO,PA,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S02, ,MDO,PA,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0220,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW02 ,     ,      ,00100, ,    , ,   ;N59263915,W146184627,0000;
RWY:RW13 ,     ,      ,00099, ,    , ,   ;N59272259,W146182709,0000;
RWY:RW20 ,     ,      ,00100, ,    , ,   ;N59270484,W146181184,0000;
RWY:RW31 ,     ,      ,00097, ,    , ,   ;N59270983,W146181245,0000;
