APPCH:010,A,RNVA,AGLAP,AGLAP,CY,P,C,EE C,R,010,HF, , , , , ,      ,    ,    ,107T,T010,+,04200,     ,18000,-,230,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,EBDIV,EBDIV,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,EBDIV,AGLAP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,EBGET,EBGET,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,EBGET,AGLAP,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVA, ,AGLAP,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04200,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVA, ,SAXEV,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,107T,0050,+,03100,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:025,R,RNVA, ,PIROP,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,108T,0039,+,03020,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,R,RNVA, ,NOXIL,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,108T,0014, ,02940,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVA, ,EBDIV,CY,P,C,EYM ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,04200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVA, ,EBDIV,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,017T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,DUREB,DUREB,CY,P,C,EE C,R,010,HF, , , , , ,      ,    ,    ,001T,0060,+,03200,     ,18000,-,230,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,ESPUR,ESPUR,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVB,ESPUR,DUREB,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,MASUX,MASUX,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVB,MASUX,DUREB,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVB, ,DUREB,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVB, ,BODBO,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,001T,0050,+,03200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,R,RNVB, ,ADVAR,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,001T,0037, ,03200,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNVB, ,MASUX,CY,P,C,EYM ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,03900,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVB, ,MASUX,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,091T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,C;
RWY:RW14 ,     ,      ,00135, ,    , ,   ;N76253919,W082545252,0000;
RWY:RW32 ,+0470,      ,00127, ,    , ,   ;N76252776,W082540883,0113;
