SID:010,4,ALPYN1,RW35L,NSTAR,K2,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,FMG,K2,D, ,A, , , ;
SID:020,4,ALPYN1,RW35L,ALPYN,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,4,ALPYN1,RW35R,NSTAR,K2,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,FMG,K2,D, ,A, , , ;
SID:020,4,ALPYN1,RW35R,ALPYN,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,6,ALPYN1,YERIN,ALPYN,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,18000,-,230,    ,   , , , , , , , , ;
SID:020,6,ALPYN1,YERIN,RYANN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALPYN1,YERIN,YERIN,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,16000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,FMG1,RW17L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1670,    ,+,04820,     ,18000, ,   ,    ,   ,FMG,K2,D, ,B, , , ;
SID:020,1,FMG1,RW17L,RIJTU,K2,P,C,EY  , ,   ,CF, ,BAM,K2,D, ,      ,2304,1480,1670,0030, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,FMG1,RW17L,FMG,K2,D, ,VE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,FMG1,RW17R,RIJTU,K2,P,C,EY  , ,   ,CF, ,BAM,K2,D, ,      ,2304,1480,1670,0030, ,     ,     ,18000, ,   ,    ,   ,FMG,K2,D, ,B, , , ;
SID:020,1,FMG1,RW17R,FMG,K2,D, ,VE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,PVINE5,RW35B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3470,    ,+,04920,     ,18000, ,   ,    ,   ,KRNO,K2,P,A, , , , ;
SID:020,4,PVINE5,RW35B,PVINE,K2,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,PVINE5,CRDDZ,PVINE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08500,     ,18000, ,   ,    ,   ,KRNO,K2,P,A, , , , ;
SID:020,6,PVINE5,CRDDZ,CRDDZ,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,PVINE5,HALLE,PVINE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08500,     ,18000, ,   ,    ,   ,KRNO,K2,P,A, , , , ;
SID:020,6,PVINE5,HALLE,HALLE,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,PVINE5,PYGOW,PVINE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08500,     ,18000, ,   ,    ,   ,KRNO,K2,P,A, , , , ;
SID:030,6,PVINE5,PYGOW,RBBRY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09600,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,PVINE5,PYGOW,PYGOW,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,17000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RENO1,RW17B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1670,    ,+,04820,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RENO1,RW17B,RW17R,K2,P,G,GE  , ,   ,FM, ,BAM,K2,D, ,      ,2321,1457,1670,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RENO1,RW26, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2570,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RENO1,RW26, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3430,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RENO1,RW35B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3470,    ,+,04820,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RENO1,RW35B, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3470,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,SPRKS1,RW17B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1670,    ,+,06600,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,SPRKS1,RW17B, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,0450,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,SPRKS1,RW17B,FMG,K2,D, ,VE H, ,   ,CF, ,FMG,K2,D, ,      ,0000,0000,3600,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,SPRKS1,RW26, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2570,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,SPRKS1,RW26,FMG,K2,D, ,VE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,SPRKS1,RW35B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3470,    ,+,06800,     ,18000, ,   ,    ,   , , , , , , , , ;
