SID:010,2,SINGG1,RW22, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2160,    ,+,02300,     ,18000, ,   ,    ,   ,3W7,K1,P,A, , , , ;
SID:020,2,SINGG1,RW22,SINGG,K1,E,A,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R22-Y,SINGG,SINGG,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R22-Y,SINGG,JEBPO,K1,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:030,A,R22-Y,SINGG,JEBPO,K1,P,C,EE C,L,   ,HF, , , , , ,      ,    ,    ,2600,0060,+,05600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R22-Y, ,JEBPO,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,18000,-,210,    ,   , , , , , ,B,J,S;
APPCH:015,R,R22-Y, ,YIVUK,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2650,0047,+,04500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R22-Y, ,HEBIL,K1,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2640,0024,+,03800,     ,     , ,   ,-420,   ,BECTO,K1,P,C, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R22-Y, ,BECTO,K1,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,2360,0043, ,01853,     ,     , ,   ,-420,   , , , , , ,B,J,S;
APPCH:040,R,R22-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2360,    ,+,01993,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R22-Y, ,SCALK,K1,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R22-Y, ,KLSEY,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07700,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:070,R,R22-Y, ,KLSEY,K1,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0780,0060,+,07700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R22-Z,SINGG,SINGG,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,A,R22-Z,SINGG,JEBPO,K1,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,     ,-,210,    ,   , , , , , ,A,W,S;
APPCH:030,A,R22-Z,SINGG,JEBPO,K1,P,C,EE C,L,   ,HF, , , , , ,      ,    ,    ,2600,0060,+,05600,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,R,R22-Z, ,JEBPO,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05600,     ,18000,-,210,    ,   , , , , , ,A,W,S;
APPCH:015,R,R22-Z, ,YIVUK,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2650,0047,+,04500,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:020,R,R22-Z, ,HEBIL,K1,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2640,0024,+,03800,     ,     , ,   ,-420,   ,BECTO,K1,P,C, ,A,W,S;
PRDAT:A,        LP, ,          , ,          , ,   , ,   , ,   , ,   ,W,S;
APPCH:025,R,R22-Z, ,ZALUD,K1,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2360,0023,+,02780,     ,     , ,   ,-420,   , , , , , ,A,W,S;
APPCH:030,R,R22-Z, ,BECTO,K1,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,2360,0021, ,01853,     ,     , ,   ,-420,   , , , , , ,A,W,S;
APPCH:040,R,R22-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2360,    ,+,01993,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:050,R,R22-Z, ,SCALK,K1,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:060,R,R22-Z, ,KLSEY,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07700,     ,     ,-,210,    ,   , , , , , ,A,W,S;
APPCH:070,R,R22-Z, ,KLSEY,K1,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0780,0060,+,07700,     ,     , ,   ,    ,   , , , , , ,A,W,S;
RWY:RW04 ,     ,      ,01589, ,    , ,   ;N47550641,W119052292,0000;
RWY:RW22 ,     ,      ,01589, ,    , ,   ;N47553233,W119043476,0000;
