SID:010,2,ETSB1C,RW03,DER03,ET,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,BUE,ET,D, , , , , ;
SID:020,2,ETSB1C,RW03,D027G,ET,P,C,EE  , ,   ,CF, ,BUE,ET,D, ,      ,0270,0070,0270,0060, ,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ETSB2F,RW21,DER21,ET,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,BUE,ET,D, , , , , ;
SID:020,2,ETSB2F,RW21, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1940,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ETSB2F,RW21,D199J,ET,P,C,EE  , ,   ,CF, ,BUE,ET,D, ,      ,1990,0100,1990,0070, ,04000,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,T03,BUGAL,BUGAL,ET,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL120,FL070,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T03,BUGAL, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2340,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T03,BUGAL,D032R,ET,P,C,EY  ,L,   ,AF, ,BUE,ET,D, ,      ,0320,0180,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T03,BUGAL,D023J,ET,P,C,E   , ,   ,CF, ,BUE,ET,D, ,      ,0230,0100,2030,0083, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,T03,BUGAL,BUE,ET,D, ,V   , ,   ,CF, ,BUE,ET,D, ,      ,0000,0000,2030,0100, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,A,T03,BUGAL,BUE,ET,D, ,V   , ,   ,FD, ,BUE,ET,D, ,      ,0000,0000,1680,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,A,T03,BUGAL,D168J,ET,P,C,E   , ,   ,CF, ,BUE,ET,D, ,      ,1680,0100,1680,0030, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:080,A,T03,BUGAL,D191J,ET,P,C,EY  ,R,   ,AF, ,BUE,ET,D, ,      ,1910,0100,1680,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:090,A,T03,BUGAL,FT03,ET,P,C,EE  , ,   ,CF, ,BUE,ET,D, ,      ,2080,0050,0280,0050,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T03, ,FT03,ET,P,C,E  F, ,   ,IF, ,BUE,ET,D, ,      ,2080,0050,    ,    ,+,02800,     ,     , ,   ,    ,   ,BUE,ET,D, , ,0,D,S;
APPCH:030,T,T03, ,MT03,ET,P,C,E  M, ,   ,CF, ,BUE,ET,D, ,      ,2080,0020,0280,0030, ,01903,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T03, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0280,    ,+,01970,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T03, ,BUE,ET,D, ,VE  , ,   ,FM, ,BUE,ET,D, ,      ,0000,0000,0540,    , ,04000,     ,     ,-,250,    ,   , , , , , ,0,D,S;
APPCH:010,A,T21,BUGAL,BUGAL,ET,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL120,FL070,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T21,BUGAL, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2340,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T21,BUGAL,D032R,ET,P,C,EY  ,L,   ,AF, ,BUE,ET,D, ,      ,0320,0180,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T21,BUGAL,CT21,ET,P,C,EE  , ,   ,CF, ,BUE,ET,D, ,      ,0230,0100,2030,0080, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T21, ,CT21,ET,P,C,E  I, ,   ,IF, ,BUE,ET,D, ,      ,0230,0100,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T21, ,FT21,ET,P,C,E  F, ,   ,CF, ,BUE,ET,D, ,      ,0230,0047,2030,0053,+,03000,     ,     , ,   ,    ,   ,BUE,ET,D, , ,0,D,S;
APPCH:025,T,T21, ,22TAC,ET,P,C,E S , ,   ,CF, ,BUE,ET,D, ,      ,0230,0022,2030,0025,+,02210,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:030,T,T21, ,MT21,ET,P,C,E  M, ,   ,CF, ,BUE,ET,D, ,      ,0230,0010,2030,0012, ,01835,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T21, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2030,    ,+,01970,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T21, ,BUE,ET,D, ,VE  ,L,   ,FM,Y,BUE,ET,D, ,      ,0000,0000,0540,    , ,04000,     ,     ,-,250,    ,   , , , , , ,0,D,S;
RWY:RW03 ,     ,      ,01550, ,    , ,   ;N50095049,E007031720,0000;
RWY:RW21 ,     ,      ,01564, ,    , ,   ;N50110120,E007041920,0000;
