SID:010,2,NABE3C,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2660,    ,+,03050,     ,09000, ,   ,    ,   ,LAR,OI,D, , , , , ;
SID:020,2,NABE3C,RW27,LAR,OI,D, ,V   , ,   ,FA, ,LAR,OI,D, ,      ,0000,0000,2700,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NABE3C,RW27,LAR,OI,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NABE3C,RW27,NABEX,OI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ROTA3A,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2660,    ,+,03050,     ,09000, ,   ,    ,   ,LAR,OI,D, , , , , ;
SID:020,2,ROTA3A,RW27,LAR,OI,D, ,V   , ,   ,FA, ,LAR,OI,D, ,      ,0000,0000,2700,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ROTA3A,RW27,LAR,OI,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ROTA3A,RW27,ROTAL,OI,E,A,EEC ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,NABE1R,ALL,NABEX,OI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,LAR,OI,D, , , , , ;
STAR:020,2,NABE1R,ALL,D130K,OI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,NABE1R,ALL,D088O,OI,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,NABE1T,ALL,NABEX,OI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,LAR,OI,D, , , , , ;
