SID:010,5,BOXAT5,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3350,    ,+,02600,     ,18000,-,200,    ,   , , , , , , , , ;
SID:020,5,BOXAT5,RW33,AVOSO,CY,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BOXAT5,RW33,BOXAT,CY,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
APPCH:010,A,RNVA,ALDDA,ALDDA,CY,E,A,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,ALDDA,KESMA,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11900,     ,     ,-,250,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVA,ALDDA,RIBAV,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:040,A,RNVA,ALDDA,MUVIX,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,A,RNVA,ALDDA,PEKRA,CY,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,A,RNVA,ALDDA,BOGDU,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09100,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:070,A,RNVA,ALDDA,MIGLA,CY,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:080,A,RNVA,ALDDA,ONBID,CY,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,ERVYN,ERVYN,CY,E,A,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,250,    ,   , , , , , ,B,J,C;
