SID:010,5,DAIS1E,RW13,CO004,SB,P,C,E   , ,010,CF, ,COA,SB,D, ,      ,1234,0038,1270,0030, ,     ,     ,10000, ,   ,    ,   ,SBCO,SB,P,A, , , , ;
SID:020,5,DAIS1E,RW13,SUKSU,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DAIS1E,RW13,PUKSA,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DAIS1E,RW13,OGROP,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DAIS1E,RW13,DAISE,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DOPG1E,RW13,CO004,SB,P,C,EY  , ,010,CF, ,CXS,SB,D, ,      ,1908,0464,1270,0030, ,     ,     ,10000, ,   ,    ,   ,SBCO,SB,P,A, , , , ;
SID:020,5,DOPG1E,RW13,CO017,SB,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,DOPG1E,RW13,KOVGI,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOPG1E,RW13,CO018,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOPG1E,RW13,ORAKI,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DOPG1E,RW13,DOPGA,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EGBA1F,RW31,DEVAV,SB,P,C,E   , ,010,CF, ,FIG,SB,D, ,      ,3075,0164,3070,0063, ,     ,     ,10000,-,210,    ,   ,SBCO,SB,P,A, , , , ;
SID:020,5,EGBA1F,RW31,EGBAM,SB,E,A,EE  ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,B,06000,05000,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,EGBA1F,DEVOT,EGBAM,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,B,06000,05000,10000, ,   ,    ,   ,SBCO,SB,P,A, , , , ;
