SID:010,1,AFOSU1,RW07T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,260T,    ,+,00444,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,B, , , ;
SID:020,1,AFOSU1,RW07T, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,137T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:030,1,AFOSU1,RW07T,ESUBE,A1,P,C,E   , ,   ,CF, ,ZWD,A1,D, ,      ,1815,0130,182T,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,AFOSU1,RW07T,AFOSU,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AFOSU1,RW25T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,080T,    ,+,00800,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,B, , , ;
SID:015,1,AFOSU1,RW25T, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,227T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:020,1,AFOSU1,RW25T,ESUBE,A1,P,C,E   , ,   ,CF, ,ZWD,A1,D, ,      ,1815,0130,182T,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,AFOSU1,RW25T,AFOSU,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AFOSU1,RW33T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,162T,    ,+,00457,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,B, , , ;
SID:015,1,AFOSU1,RW33T, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,227T,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,AFOSU1,RW33T,ESUBE,A1,P,C,EY  , ,   ,CF, ,ZWD,A1,D, ,      ,1815,0130,182T,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,AFOSU1,RW33T,AFOSU,A1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AMBER1,RW07T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,260T,    ,+,00800,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,B, , , ;
SID:020,1,AMBER1,RW07T, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,356T,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,AMBER1,RW07T,BYRRD,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,3105,0355,311T,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AMBER1,RW25T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,080T,    ,+,00800,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,B, , , ;
SID:020,1,AMBER1,RW25T,ZWD,A1,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:030,1,AMBER1,RW25T,BYRRD,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,3105,0355,311T,0355, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AMBER1,RW33T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,162T,    ,+,00457,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,B, , , ;
SID:020,1,AMBER1,RW33T, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,356T,    , ,     ,     ,     ,-,270,    ,   , , , , , , , , ;
SID:030,1,AMBER1,RW33T,BYRRD,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,3105,0355,311T,0310, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,BLANE2,RW07T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,260T,    ,+,00470,     ,18000, ,   ,    ,   ,ZWD,A1,D, ,A, , , ;
