SID:010,2,KOTKI1,RW13,D134F,SL,P,C,EYC , ,   ,CF, ,TAR,SL,D, ,      ,1340,0060,1340,0060,+,07600,     ,18000, ,   ,    ,   ,TAR,SL,D, , , , , ;
SID:020,2,KOTKI1,RW13,D175F,SL,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KOTKI1,RW13,TAR,SL,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KOTKI1,RW13,KOTKI,SL,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PULSA1,RW13,D134F,SL,P,C,EYC , ,   ,CF, ,TAR,SL,D, ,      ,1340,0060,1340,0060,+,07600,     ,18000, ,   ,    ,   ,TAR,SL,D, , , , , ;
SID:020,2,PULSA1,RW13,D175F,SL,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PULSA1,RW13,TAR,SL,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PULSA1,RW13,PULSA,SL,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SINIT1,RW13,D134F,SL,P,C,EYC , ,   ,CF, ,TAR,SL,D, ,      ,1340,0060,1340,0060,+,07600,     ,18000, ,   ,    ,   ,TAR,SL,D, , , , , ;
SID:020,2,SINIT1,RW13,D175F,SL,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,SINIT1,RW13,TAR,SL,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SINIT1,RW13,SINIT,SL,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D13-C,KOTKI,KOTKI,SL,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,17000,     ,     ,-,160,    ,   , , , , , ,0, ,S;
APPCH:020,A,D13-C,KOTKI,TJ424,SL,P,C,E CH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D13-C,KOTKI,TJ426,SL,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D13-C,KOTKI,TJ428,SL,P,C,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D13-C, ,TJ428,SL,P,C,E CF, ,   ,IF, ,TAR,SL,D, ,      ,3121,0030,    ,    ,+,07300,     ,     ,-,160,    ,   ,TAR,SL,D, , ,0, ,S;
APPCH:030,D,D13-C, ,TAR,SL,D, ,V  M, ,   ,CF, ,TAR,SL,D, ,      ,0000,0000,1330,0030, ,06153,     ,     , ,   ,-361,   , , , , , ,0, ,S;
APPCH:040,D,D13-C, ,TJ466,SL,P,C,EYM , ,   ,CF, ,TAR,SL,D, ,      ,1324,0060,1330,0060,+,08300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D13-C, ,TAR,SL,D, ,V   ,R,   ,CF,Y,TAR,SL,D, ,      ,0000,0000,0070,0050,+,13000,     ,     ,-,180,    ,   , , , , , ,0, ,S;
APPCH:060,D,D13-C, ,TAR,SL,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0070,0050,+,13000,     ,     ,-,220,    ,   , , , , , ,0, ,S;
RWY:RW13 ,-0380,      ,06095, ,    , ,   ;S21325241,W064424774,0000;
RWY:RW31 ,+0380,      ,06057, ,    , ,   ;S21334162,W064413095,1148;
