SID:010,2,OCT5R,RW17, , , , ,    , ,   ,CD, ,OCT,RJ,D, ,      ,    ,    ,1660,0030, ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,2,OCT5R,RW17,OCT,RJ,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,OCT5R,RW17,D043B,RJ,P,C,E   , ,   ,CF, ,OCT,RJ,D, ,      ,0430,0020,0430,0020,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,OCT5R,RW17, , , , ,    , ,   ,CD, ,OCT,RJ,D, ,      ,    ,    ,0430,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,OCT5R,RW17,OCT,RJ,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,OCT5R,DGC,OCT,RJ,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,OCT5R,DGC,DGC38,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,OCT5R,DGC,DGC,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,OCT5R,IWT,OCT,RJ,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,OCT5R,IWT,IWT53,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,OCT5R,IWT,IWT,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,T35,UGILA,UGILA,RJ,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,14000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T35,UGILA,BODOB,RJ,P,C,EE B,R,   ,AF, ,OCT,RJ,D, ,      ,1583,0100,0820,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T35, ,BODOB,RJ,P,C,E  I, ,   ,IF, ,OCT,RJ,D, ,      ,1583,0100,    ,    ,+,01900,     ,14000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T35, ,IDVON,RJ,P,C,E  F, ,   ,CF, ,OCT,RJ,D, ,      ,1583,0050,3390,0050,+,01652,     ,     , ,   ,    ,   ,OCT,RJ,D, , ,0,D,S;
APPCH:030,T,T35, ,MA35,RJ,P,C,E  M, ,   ,CF, ,OCT,RJ,D, ,      ,1583,0009,3390,0041, ,00335,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T35, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3390,    ,+,00520,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T35, ,UGILA,RJ,P,C,E   ,R,   ,CF, ,OCT,RJ,D, ,      ,0818,0100,0820,0100,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,T,T35, ,UGILA,RJ,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2620,0040,+,04000,     ,     ,-,170,    ,   , , , , , ,0,D,S;
RWY:RW12 ,     ,      ,00016, ,    , ,   ;N34024573,E131030162,0000;
RWY:RW17 ,     ,      ,00016, ,    , ,   ;N34031817,E131025262,0000;
RWY:RW30 ,     ,      ,00016, ,    , ,   ;N34023385,E131033319,0000;
RWY:RW35 ,     ,      ,00016, ,    , ,   ;N34024138,E131030839,0000;
