SID:010,4,ANKI1B,RW20L,CR400,VV,P,C,E   , ,010,CF, ,CRA,VV,D, ,      ,2006,0081,2010,0073,+,02000,     ,09000, ,   ,    ,   ,VVCR,VV,P,A, , , , ;
SID:020,4,ANKI1B,RW20L,CR401,VV,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ANKI1B,RW20L,CR402,VV,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,ANKI1B,RW20L,CR403,VV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:050,4,ANKI1B,RW20L,ANKIN,VV,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ANKI1B,RW20R,CR400,VV,P,C,E   , ,010,CF, ,CRA,VV,D, ,      ,2006,0081,2000,0075,+,02000,     ,09000, ,   ,    ,   ,VVCR,VV,P,A, , , , ;
SID:020,4,ANKI1B,RW20R,CR401,VV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ANKI1B,RW20R,CR402,VV,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,ANKI1B,RW20R,CR403,VV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:050,4,ANKI1B,RW20R,ANKIN,VV,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BANK1B,RW20L,CR400,VV,P,C,E   , ,010,CF, ,CRA,VV,D, ,      ,2006,0081,2010,0073,+,02000,     ,09000, ,   ,    ,   ,VVCR,VV,P,A, , , , ;
SID:020,4,BANK1B,RW20L,CR401,VV,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BANK1B,RW20L,CR402,VV,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BANK1B,RW20L,CR403,VV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
