SID:010,1,ELMOO9,RW08, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0790,    ,+,01180,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMOO9,RW08, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1230,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ELMOO9,RW08,ELMOO,K2,E,A,EE  , ,   ,CF, ,VNY,K2,D, ,      ,0950,0218,0950,0110,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ELMOO9,RW15, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1550,    ,+,01180,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:015,1,ELMOO9,RW15, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1130,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMOO9,RW15,ELMOO,K2,E,A,EE  , ,   ,CF, ,VNY,K2,D, ,      ,0950,0218,0950,0150,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ELMOO9,RW26, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2590,    ,+,01180,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMOO9,RW26, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1130,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ELMOO9,RW26,ELMOO,K2,E,A,EE  ,E,   ,CF, ,VNY,K2,D, ,      ,0950,0218,0950,0180,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ELMOO9,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3350,    ,+,01180,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMOO9,RW33, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1230,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ELMOO9,RW33,ELMOO,K2,E,A,EE  ,E,   ,CF, ,VNY,K2,D, ,      ,0950,0218,0950,0170,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,OROSZ2,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0790,    ,+,01180,     ,18000, ,   ,    ,   , , , , , , , , ;
