SID:010,5,ANIT1C,RW02R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0230,    ,+,03000,     ,11000, ,   ,    ,   ,VTK,WS,D, ,A, , , ;
SID:020,5,ANIT1C,RW02R,HOSBA,WS,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANIT1C,RW02R,VANBU,WS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANIT1C,RW02R,VIRET,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANIT1C,RW02R,GURES,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ANIT1C,RW02R,IKIRO,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ANIT1C,RW02R,ANITO,WI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANIT1D,RW20L,UKIBO,WS,P,C,EY  , ,   ,CF, ,VTK,WS,D, ,      ,1953,0072,2030,0015, ,     ,     ,11000, ,   ,    ,   ,VTK,WS,D, ,A, , , ;
SID:020,5,ANIT1D,RW20L,ISNOM,WS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANIT1D,RW20L,ASOMI,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANIT1D,RW20L,UPTEL,WS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANIT1D,RW20L,IDKIV,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ANIT1D,RW20L,GIXEM,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ANIT1D,RW20L,VASTI,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ANIT1D,RW20L,VIRET,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,ANIT1D,RW20L,GURES,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,ANIT1D,RW20L,IKIRO,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,5,ANIT1D,RW20L,ANITO,WI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANIT7A,RW02C,MOXIB,WS,P,C,E   , ,   ,CF, ,VTK,WS,D, ,      ,0222,0050,0230,0080,+,02000,     ,11000, ,   ,    ,   ,VTK,WS,D, ,A, , , ;
SID:020,5,ANIT7A,RW02C,EMRIX,WS,P,C,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANIT7A,RW02C,HOSBA,WS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANIT7A,RW02C,VANBU,WS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANIT7A,RW02C,VIRET,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ANIT7A,RW02C,GURES,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ANIT7A,RW02C,IKIRO,WI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ANIT7A,RW02C,ANITO,WI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANIT7E,RW02L,MOLVO,WS,P,C,E   , ,   ,CF, ,VTK,WS,D, ,      ,0123,0051,0230,0080,+,02000,     ,11000, ,   ,    ,   ,VTK,WS,D, ,A, , , ;
