SID:010,5,SOSO1M,RW09,INVIL,WA,P,C,E   , ,010,CF, ,VTW,WB,D, ,      ,1110,6370,0910,0050,+,01500,     ,11000, ,   ,    ,   ,WAEH,WA,P,A,A, , , ;
SID:020,5,SOSO1M,RW09,NUVLO,WA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,SOSO1M,RW09,UGVAS,WA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,SOSO1M,RW09,IKEMO,WA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,SOSO1M,RW09,TATIN,WA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,SOSO1M,RW09,UXALU,WA,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,SOSO1M,RW09,UPNOP,WA,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,SOSO1M,RW09,SOSOK,WA,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,SOSO1N,RW27, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2710,    ,+,00600,     ,11000,-,230,    ,   ,WAEH,WA,P,A,B, , , ;
SID:020,5,SOSO1N,RW27,UGVAS,WA,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,SOSO1N,RW27,IKEMO,WA,P,C,E   ,R,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,250,    ,   , , , , , , , , ;
