SID:010,2,BOLIM1,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3030,    ,+,03000,     ,10000, ,   ,    ,   ,OAS,SP,D, , , , , ;
SID:020,2,BOLIM1,RW30, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1420,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BOLIM1,RW30,BOLIM,SP,E,A,E C , ,   ,CF, ,OAS,SP,D, ,      ,1116,0300,1120,0260,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BOLIM1,RW30,IQT,SP,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MASPO1,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3030,    ,+,03000,     ,10000, ,   ,    ,   ,OAS,SP,D, , , , , ;
SID:020,2,MASPO1,RW30, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1000,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MASPO1,RW30,MASPO,SP,E,A,E C , ,   ,CF, ,OAS,SP,D, ,      ,1293,0300,1300,0250,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MASPO1,RW30,PABAM,SP,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PUNUD1,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3030,    ,+,03000,     ,10000, ,   ,    ,   ,OAS,SP,D, , , , , ;
SID:020,2,PUNUD1,RW30, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1160,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PUNUD1,RW30,OSUBU,SP,E,A,E C , ,   ,CF, ,OAS,SP,D, ,      ,1456,0411,1460,0340,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PUNUD1,RW30,PUNUD,SP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BOLIM1,RW12,IQT,SP,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,OAS,SP,D, , , , , ;
STAR:020,2,BOLIM1,RW12,BOLIM,SP,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,BOLIM1,RW12,OAS,SP,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MASPO1,RW12,PABAM,SP,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,OAS,SP,D, , , , , ;
