SID:020,2,NSH1D,RW05L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0520,    ,+,02140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NSH1D,RW05L, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,0160,0114,+,04930,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,2,NSH1D,RW05L,D336X,ZL,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,NSH1D,RW05L,KLX,ZL,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,NSH1D,RW05L,D155J,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,NSH1D,RW05L,UGSUT,ZL,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,NSH1D,RW05L,PIKEM,ZL,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,2,NSH1D,RW05L,NSH,ZL,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NSH2E,RW06L, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,0520,0082,+,04270,     ,     , ,   ,    ,   ,KLX,ZL,D, , , , , ;
SID:020,1,NSH2E,RW06L, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,0520,0114,+,05250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,NSH2E,RW06L,FNH,ZL,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NSH2E,RW06R, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,0520,0082,+,04270,     ,     , ,   ,    ,   ,KLX,ZL,D, , , , , ;
SID:020,1,NSH2E,RW06R, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,0520,0114,+,05250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,NSH2E,RW06R,FNH,ZL,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NSH2E, ,FNH,ZL,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KLX,ZL,D, , , , , ;
SID:020,2,NSH2E, ,D154J,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NSH2E, ,ZS,ZL,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NSH2E, ,D176Y,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,NSH2E, ,LCZ33,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,NSH2E, ,PIKEM,ZL,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,NSH2E, ,NSH,ZL,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NSH2F,RW24L, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,2320,0101,+,04600,     ,     , ,   ,    ,   ,ZNX,ZL,D, , , , , ;
SID:020,1,NSH2F,RW24L, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,2320,0161,+,05910,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,1,NSH2F,RW24L,D219H,ZL,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,NSH2F,RW24L,D232G,ZL,P,C,EE  ,R,   ,CF, ,LCZ,ZL,D, ,      ,2320,0072,1400,0070,+,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NSH2F,RW24R, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,2320,0101,+,04600,     ,     , ,   ,    ,   ,ZNX,ZL,D, , , , , ;
SID:020,1,NSH2F,RW24R, , , , ,    , ,   ,CD, ,LCZ,ZL,D, ,      ,    ,    ,2320,0161,+,05910,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,1,NSH2F,RW24R,D219H,ZL,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,NSH2F,RW24R,D232G,ZL,P,C,EE  ,R,   ,CF, ,LCZ,ZL,D, ,      ,2320,0072,1400,0070,+,07880,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NSH2F, ,D232G,ZL,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07880,     ,     , ,   ,    ,   ,ZNX,ZL,D, , , , , ;
SID:020,2,NSH2F, ,ZS,ZL,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NSH2F, ,D176Y,ZL,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
