SID:020,2,EGRU1D,RW09,RST,OI,D,B,E   , ,   ,FA, ,RST,OI,D, ,      ,1305,0005,0750,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EGRU1D,RW09,RST,OI,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EGRU1D,RW09,EGRUD,OI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GABM1C,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2690,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D,B, , , , ;
SID:020,2,GABM1C,RW27,RST,OI,D,B,E   , ,   ,FA, ,RST,OI,D, ,      ,1305,0005,2850,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GABM1C,RW27,RST,OI,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GABM1C,RW27,GABMI,OI,E,A,EEC ,L,   ,TF,Y, , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GABM1D,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0890,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D,B, , , , ;
SID:020,2,GABM1D,RW09,RST,OI,D,B,E   , ,   ,FA, ,RST,OI,D, ,      ,1305,0005,0750,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GABM1D,RW09,RST,OI,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GABM1D,RW09,GABMI,OI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GABM2A,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2690,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D, , , , , ;
SID:015,2,GABM2A,RW27,RST,OI,D, ,V   , ,   ,FA, ,RST,OI,D, ,      ,0000,0000,2850,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,GABM2A,RW27,RST,OI,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GABM2A,RW27,GABMI,OI,E,A,EEC ,L,   ,TF,Y, , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GABM2B,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0890,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D, , , , , ;
SID:020,2,GABM2B,RW09,RST,OI,D, ,V   , ,   ,FA, ,RST,OI,D, ,      ,0000,0000,0750,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GABM2B,RW09,RST,OI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GABM2B,RW09,GABMI,OI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MODI1A,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2690,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D, , , , , ;
SID:020,2,MODI1A,RW27, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,0330,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MODI1A,RW27,MODIL,OI,E,A,EEC , ,   ,CF, ,RST,OI,D, ,      ,0016,0300,0030,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MODI1B,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0890,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D, , , , , ;
SID:020,2,MODI1B,RW09, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,3330,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MODI1B,RW09,MODIL,OI,E,A,EEC , ,   ,CF, ,RST,OI,D, ,      ,0016,0300,0030,0260, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,RALG1C,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2690,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D,B, , , , ;
SID:020,2,RALG1C,RW27,RST,OI,D,B,E   , ,   ,FA, ,RST,OI,D, ,      ,1305,0005,2850,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,RALG1C,RW27,RST,OI,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,RALG1C,RW27,RALGO,OI,E,A,EEC ,R,   ,TF,Y, , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,RALG1D,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0890,    ,+,00360,     ,04000, ,   ,    ,   ,RST,OI,D,B, , , , ;
SID:020,2,RALG1D,RW09,RST,OI,D,B,E   , ,   ,FA, ,RST,OI,D, ,      ,1305,0005,0750,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,RALG1D,RW09,RST,OI,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
