SID:010,4,EMGA3E,RW06C,EE306,UU,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,07000,05000,10000, ,230,    ,   ,UUEE,UU,P,A, , , , ;
SID:010,4,EMGA3E,RW06R,EE306,UU,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,07000,05000,10000, ,230,    ,   ,UUEE,UU,P,A, , , , ;
SID:010,5,EMGA3E, ,EE306,UU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,07000,05000,10000, ,230,    ,   ,UUEE,UU,P,A, , , , ;
SID:020,5,EMGA3E, ,RATKE,UU,E,A,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,09000,08000,     , ,250,    ,   , , , , , , , , ;
SID:030,5,EMGA3E, ,OVVIM,UU,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL130,FL120,     , ,270,    ,   , , , , , , , , ;
SID:040,5,EMGA3E, ,IMIZO,UU,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,270,    ,   , , , , , , , , ;
SID:050,5,EMGA3E, ,GIGUN,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,EMGA3E, ,ASLEK,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,270,    ,   , , , , , , , , ;
SID:070,5,EMGA3E, ,FOZBE,UU,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL260,     ,     , ,270,    ,   , , , , , , , , ;
SID:080,5,EMGA3E, ,LO,UU,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL270,     ,     , ,270,    ,   , , , , , , , , ;
SID:090,5,EMGA3E, ,SOMAG,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,EMGA3E, ,OFIRA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,5,EMGA3E, ,RIREN,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:120,5,EMGA3E, ,LAZIT,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:130,5,EMGA3E, ,EMGAS,UU,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
