SID:010,2,BUKE1A,RW08B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0790,    ,+,00800,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BUKE1A,RW08B,PEXAL,LR,E,A,E   ,L,   ,CF, ,FLR,LR,D, ,      ,0466,0209,3330,0070,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BUKE1A,RW08B,STJ,LR,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BUKE1A,RW08B,BUKEL,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,BUKE1K,RW08L,OP883,LR,P,C,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0729,0274,0790,0090, ,     ,     ,04000,-,270,    ,   , , , , , , , , ;
SID:030,4,BUKE1K,RW08L,ETUXA,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,BUKE1K,RW08R,OP884,LR,P,C,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0743,0273,0790,0090, ,     ,     ,04000,-,270,    ,   , , , , , , , , ;
SID:030,4,BUKE1K,RW08R,ETUXA,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BUKE1K, ,ETUXA,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BUKE1K, ,BUKEL,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BUKE1M,RW26L,OP662,LR,E,A,EYC , ,   ,CF, ,FLR,LR,D, ,      ,0697,0134,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:015,4,BUKE1M,RW26L,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BUKE1M,RW26R,OP661,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0668,0136,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:015,4,BUKE1M,RW26R,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BUKE1M, ,OP667,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL045,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BUKE1M, ,DESUX,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BUKE1M, ,BUKEL,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,BUKE5C,RW26L,OPW,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:040,1,BUKE5C,RW26L,D315R,LR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,BUKE5C,RW26L,VEDAP,LR,E,A,E   , ,   ,CF, ,FLR,LR,D, ,      ,3563,0202,3570,0040,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,1,BUKE5C,RW26L,BUKEL,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,BUKE5C,RW26R,OTL,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:040,1,BUKE5C,RW26R,D315S,LR,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,BUKE5C,RW26R,VEDAP,LR,E,A,E   , ,   ,CF, ,FLR,LR,D, ,      ,3563,0202,3570,0030,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,1,BUKE5C,RW26R,BUKEL,LR,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DENA1K,RW08L,OP883,LR,P,C,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0729,0274,0790,0090, ,     ,     ,04000,-,270,    ,   , , , , , , , , ;
SID:020,4,DENA1K,RW08L,ETUXA,LR,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DENA1K,RW08R,OP884,LR,P,C,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0743,0273,0790,0090, ,     ,     ,04000,-,270,    ,   , , , , , , , , ;
SID:020,4,DENA1K,RW08R,ETUXA,LR,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DENA1K, ,ETUXA,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,DENA1K, ,EKSUN,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DENA1K, ,DENAK,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DENA1M,RW26L,OP662,LR,E,A,EYC , ,   ,CF, ,FLR,LR,D, ,      ,0697,0134,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:020,4,DENA1M,RW26L,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DENA1M,RW26R,OP661,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0668,0136,2590,0030, ,     ,     ,04000,-,210,    ,   , , , , , , , , ;
SID:020,4,DENA1M,RW26R,OP667,LR,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DENA1M, ,OP667,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,5,DENA1M, ,DENAK,LR,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,DENA3A,RW08L,OTR,LR,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:030,1,DENA3A,RW08L,RIDPA,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0725,0342,0730,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,DENA3A,RW08L,DENAK,LR,E,A,EEC ,L,   ,CF, ,OPT,LR,D, ,      ,3428,0252,3430,0210,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,DENA3A,RW08R,OPE,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,1,DENA3A,RW08R,RIDPA,LR,E,A,EY  , ,   ,CF, ,FLR,LR,D, ,      ,0725,0342,0730,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,DENA3A,RW08R,DENAK,LR,E,A,EEC ,L,   ,CF, ,OPT,LR,D, ,      ,3428,0252,3430,0210,+,FL045,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,1,DENA5C,RW26L,OPW,LR,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   , , , , , , , , ;
