STAR:030,5,ARDU1R,RW01,SY357,EP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ARDU1R,RW01,SY364,EP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,ARDU1R,RW01,SY366,EP,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ARDU3T,RW19,ARDUT,EP,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,EPSY,EP,P,A, , , , ;
STAR:020,5,ARDU3T,RW19,SY793,EP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ARDU3T,RW19,SY801,EP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ARDU3T,RW19,SY802,EP,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,IBIN2R,RW01,IBINO,EP,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,EPSY,EP,P,A, , , , ;
STAR:020,5,IBIN2R,RW01,SY361,EP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL090,07000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,IBIN2R,RW01,SY366,EP,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,IBIN3T,RW19,IBINO,EP,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,EPSY,EP,P,A, , , , ;
STAR:020,5,IBIN3T,RW19,SY791,EP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
