SID:010,5,AKTI7B,RW27R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2720,    ,+,03400,     ,07000, ,   ,    ,   ,VOBL,VO,P,A,A, , , ;
SID:020,5,AKTI7B,RW27R,BL801,VO,P,C,E   , ,   ,CF, ,BIA,VO,D, ,      ,3009,0124,3020,0110,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AKTI7B,RW27R,BL803,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AKTI7B,RW27R,BL506,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AKTI7B,RW27R,BL507,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AKTI7B,RW27R,OMUKA,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,AKTI7B,RW27R,AKTIM,VO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AKTI7D,RW27L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2720,    ,+,03400,     ,07000, ,   ,    ,   ,VOBL,VO,P,A,A, , , ;
SID:020,5,AKTI7D,RW27L,BL813,VO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AKTI7D,RW27L,BL814,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AKTI7D,RW27L,BL817,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AKTI7D,RW27L,BL506,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:055,5,AKTI7D,RW27L,BL507,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AKTI7D,RW27L,OMUKA,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,AKTI7D,RW27L,AKTIM,VO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AKTI8A,RW09L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0920,    ,+,03400,     ,07000,-,250,    ,   ,VOBL,VO,P,A,A, , , ;
SID:020,5,AKTI8A,RW09L,BL751,VO,P,C,E   , ,   ,CF, ,BIA,VO,D, ,      ,0685,0089,0620,0070, ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,AKTI8A,RW09L,BL753,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,     ,-,250,    ,   , , , , , , , , ;
