SID:005,2,ADB21D,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00410,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:010,2,ADB21D,RW36B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,0030,0016, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ADB21D,RW36B,CGT,ZS,D, ,V   ,L,   ,CF, ,CGT,ZS,D, ,      ,0000,0000,2310,0050, ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,ADB21D,RW36B,OLGAP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ADB21D,RW36B,LURMA,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ADB21D,RW36B,ADBAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADB31D,RW18B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,1830,0044, ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,2,ADB31D,RW18B,OLGAP,ZS,E,A,E C , ,   ,CF, ,SHA,ZS,D, ,      ,2330,0130,2590,0100,+,02960,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,ADB31D,RW18B,LURMA,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ADB31D,RW18B,ADBAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADB61D,RW18L,DE18L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADB61D,RW18L,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1840,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADB61D,RW18R,DE18R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADB61D,RW18R,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1830,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ADB61D, ,SS301,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,ADB61D, ,SS302,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,ADB61D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ADB61D, ,LURMA,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ADB61D, ,ADBAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADB71D,RW36L,DE36L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADB71D,RW36L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ADB71D,RW36L,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,ADB71D,RW36L,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADB71D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADB71D,RW36R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ADB71D,RW36R,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,ADB71D,RW36R,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ADB71D, ,SS504,ZS,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,ADB71D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06890,     ,     , ,   ,    ,   , , , , , , , , ;
