APPCH:010,A,R17,UTREX,UTREX,FA,E,A,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:020,A,R17,UTREX,SZ1N1,FA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04900,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:030,A,R17,UTREX,SZ1T1,FA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03320,     ,     ,-,160,    ,   , , , , , ,B,J,S;
APPCH:010,R,R17, ,SZ1T1,FA,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03320,     ,     ,-,160,    ,   , , , , , ,B,J,S;
APPCH:020,R,R17, ,SZ1F1,FA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1760,0030, ,02250,     ,     ,-,140,    ,   ,FASZ,FA,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R17, ,RW17,FA,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1760,0030, ,01084,     ,     ,-,180,-372,   , , , , , ,B,J,S;
APPCH:040,R,R17, ,RW17,FA,P,G,G M , ,010,FA, ,AGV,FA,D, ,      ,0917,7455,1760,    ,+,01820,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R17, ,SZ1M1,FA,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:060,R,R17, ,SZ1M1,FA,P,C,E   , ,010,FA, ,AGV,FA,D, ,      ,0917,7361,3040,    ,+,04800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:070,R,R17, , , , , , E  , ,010,VM, , , , , ,      ,    ,    ,3040,    , ,04800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R35,UTREX,UTREX,FA,E,A,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:020,A,R35,UTREX,GETIM,FA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:030,A,R35,UTREX,SZ2T1,FA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03290,     ,     ,-,160,    ,   , , , , , ,B,J,S;
APPCH:010,R,R35, ,SZ2T1,FA,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03290,     ,     ,-,160,    ,   , , , , , ,B,J,S;
APPCH:020,R,R35, ,SZ2F1,FA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3560,0030, ,02210,     ,     ,-,140,    ,   ,FASZ,FA,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R35, ,RW35,FA,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,3560,0030, ,01042,     ,     ,-,180,-373,   , , , , , ,B,J,S;
APPCH:040,R,R35, ,SZ1T1,FA,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:050,R,R35, ,SZ1N1,FA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:055,R,R35, ,SZ1N1,FA,P,C,E   , ,010,FA, ,AGV,FA,D, ,      ,0913,7412,2670,    ,+,04800,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:060,R,R35, , , , , , E  , ,010,VM, , , , , ,      ,    ,    ,2670,    , ,04800,     ,     ,-,180,    ,   , , , , , ,B,J,S;
RWY:RW17 ,     ,      ,01034, ,    , ,   ;S24571909,E031350898,0279;
RWY:RW35 ,     ,      ,00992, ,    , ,   ;S24580242,E031353057,0000;
