SID:010,5,ABAG3A,RW06,DER06,EI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,SHA,EI,D, , , , , ;
SID:020,5,ABAG3A,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ABAG3A,RW06,ABAGU,EI,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABAG3B,RW24,DER24,EI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,SHA,EI,D, , , , , ;
SID:020,5,ABAG3B,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2360,    ,+,00500,     ,     ,-,185,    ,   , , , , , , , , ;
SID:030,5,ABAG3B,RW24,ADARU,EI,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,5,ABAG3B,RW24,ABAGU,EI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,AGIN3A,RW06,DER06,EI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,SHA,EI,D, , , , , ;
SID:020,5,AGIN3A,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AGIN3A,RW06,AGINI,EI,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AGIN3B,RW24,DER24,EI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,SHA,EI,D, , , , , ;
SID:020,5,AGIN3B,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2360,    ,+,00500,     ,     ,-,185,    ,   , , , , , , , , ;
