SID:010,5,ALUV1E,RW10,LUKEX,EN,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000,-,240,    ,   ,ENZV,EN,P,A, , , , ;
SID:020,5,ALUV1E,RW10,ZV801,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:030,5,ALUV1E,RW10,BASOP,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ALUV1E,RW10,ZV803,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ALUV1E,RW10,ALUVA,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ALUV1F,RW28,LUGOV,EN,P,C,E   , ,   ,CF, ,ZOL,EN,D, ,      ,2849,0086,2840,0080, ,     ,     ,07000,-,240,    ,   ,ENZV,EN,P,A, , , , ;
SID:020,5,ALUV1F,RW28,ZV855,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ALUV1F,RW28,ALUVA,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ALUV1G,RW18,KUVED,EN,P,C,E   , ,   ,CF, ,ZOL,EN,D, ,      ,1775,0113,1770,0110, ,     ,     ,07000, ,   ,    ,   ,ENZV,EN,P,A, , , , ;
SID:020,5,ALUV1G,RW18,ZV420,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,ALUV1G,RW18,AGNUB,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
