SID:010,5,MARFA2,RW07,FONOS,K4,P,C,E   , ,   ,CF, ,COT,K4,D, ,      ,2739,2421,0690,0042, ,     ,     ,18000, ,   ,    ,   ,T89,K4,P,A, , , , ;
SID:020,5,MARFA2,RW07,SOCCR,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MARFA2,RW07,COMAE,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,MARFA2,RW07,MRF,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R07,MRF,MRF,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R07,MRF,AYMON,K4,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R07,MRF,GODGE,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R07,RUZEL,RUZEL,K4,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R07,RUZEL,AYMON,K4,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R07,RUZEL,GODGE,K4,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R07, ,GODGE,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:015,R,R07, ,MULHU,K4,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1160,0040,+,06300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R07, ,DUTAC,K4,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1160,0030,+,05600,     ,     , ,   ,-350,   ,PALNE,K4,P,C, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R07, ,JEPOG,K4,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,0860,0033,+,04360,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:030,R,R07, ,PALNE,K4,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,0860,0041, ,02837,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:040,R,R07, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0860,    ,+,04280,     ,     , ,   ,    ,   , , , , , ,B,J,S;
