SID:010,2,KAS1B,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1370,    ,+,02300,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,KAS1B,RW14,D132E,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1320,0050,1320,0040,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KAS1B,RW14,D132M,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KAS1B,RW14,YNN,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,KAS1B,RW14,D020I,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,KAS1B,RW14,KAS,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LUSE1A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3170,    ,+,02500,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,LUSE1A,RW32,D305J,LG,P,C,EY  , ,   ,CF, ,YNN,LG,D, ,      ,3055,0100,3050,0090,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LUSE1A,RW32,YNN,LG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,LUSE1A,RW32,D102J,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,LUSE1A,RW32,D102N,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,LUSE1A,RW32,LUSES,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LUSE1B,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1370,    ,+,02300,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,LUSE1B,RW14,D132E,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1320,0050,1320,0040,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LUSE1B,RW14,D132M,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LUSE1B,RW14,YNN,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,LUSE1B,RW14, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,1470,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,LUSE1B,RW14,D102J,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1019,0100,1020,0060,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,LUSE1B,RW14,D102N,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,LUSE1B,RW14,LUSES,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NIDR1A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3170,    ,+,02500,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,NIDR1A,RW32,D305J,LG,P,C,EY  , ,   ,CF, ,YNN,LG,D, ,      ,3055,0100,3050,0090,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NIDR1A,RW32,YNN,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,NIDR1A,RW32, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,2430,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,2,NIDR1A,RW32,D198U,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1979,0210,1980,0170,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,NIDR1A,RW32,NIDRI,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NIDR1B,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1370,    ,+,02300,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,NIDR1B,RW14,D132E,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1320,0050,1320,0040,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NIDR1B,RW14,D132M,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NIDR1B,RW14,YNN,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,NIDR1B,RW14, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1530,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,NIDR1B,RW14,D198U,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1979,0210,1980,0170,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,NIDR1B,RW14,NIDRI,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PARA1H,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1370,    ,+,02300,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,PARA1H,RW14,D132E,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1320,0050,1320,0040,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PARA1H,RW14,D132M,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PARA1H,RW14,YNN,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,PARA1H,RW14, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1960,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,PARA1H,RW14,PARAX,LG,E,A,EEC , ,   ,CF, ,KRK,LG,D, ,      ,0609,0171,2410,0170, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PARA1K,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3170,    ,+,02500,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,PARA1K,RW32,D305J,LG,P,C,EY  , ,   ,CF, ,YNN,LG,D, ,      ,3055,0100,3050,0090,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PARA1K,RW32,YNN,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,PARA1K,RW32, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,2860,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,2,PARA1K,RW32,PARAX,LG,E,A,EEC , ,   ,CF, ,YNN,LG,D, ,      ,2414,0209,2410,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PIKO1A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3170,    ,+,02500,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,PIKO1A,RW32,D305J,LG,P,C,EY  , ,   ,CF, ,YNN,LG,D, ,      ,3055,0100,3050,0090,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PIKO1A,RW32,YNN,LG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:035,2,PIKO1A,RW32,D060I,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,PIKO1A,RW32,PIKOS,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PIKO1B,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1370,    ,+,02300,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:015,2,PIKO1B,RW14,D132E,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1320,0050,1320,0040,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,PIKO1B,RW14,D132M,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PIKO1B,RW14,YNN,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:033,2,PIKO1B,RW14, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1050,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:037,2,PIKO1B,RW14,D060I,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,0598,0090,0600,0050,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PIKO1B,RW14,PIKOS,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ROTS1A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3170,    ,+,02500,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,ROTS1A,RW32,D305J,LG,P,C,EY  , ,   ,CF, ,YNN,LG,D, ,      ,3055,0100,3050,0090,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ROTS1A,RW32,YNN,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,ROTS1A,RW32, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,2290,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,2,ROTS1A,RW32,D184W,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1840,0230,1840,0190,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,ROTS1A,RW32,ROTSA,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ROTS1B,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1370,    ,+,02300,     ,09000, ,   ,    ,   ,YNN,LG,D, ,B, , , ;
SID:020,2,ROTS1B,RW14,D132E,LG,P,C,E   , ,   ,CF, ,YNN,LG,D, ,      ,1320,0050,1320,0040,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ROTS1B,RW14,D132M,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ROTS1B,RW14,YNN,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,ROTS1B,RW14, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1390,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
