SID:010,2,EDAT3A,RW12,D121F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1222,0059,1210,0040, ,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,EDAT3A,RW12,EDATA,UB,E,A,EEC , ,   ,CF, ,GND,UB,D, ,      ,0950,0415,0900,0360,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,EDAT3B,RW30,GND,UB,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:010,2,EDAT3B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3010,0010,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EDAT3B,RW30,EDATA,UB,E,A,EEC ,R,   ,CF,Y,GND,UB,D, ,      ,0950,0415,1010,0420,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MATA1B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3010,0030,+,02000,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,MATA1B,RW30,GND,UB,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,MATA1B,RW30,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2650,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MATA1B,RW30,D265P,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MATA1B,RW30,MATAL,UD,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MATA2A,RW12,D121F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1222,0059,1210,0040, ,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,MATA2A,RW12,GND,UB,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,MATA2A,RW12,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2650,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MATA2A,RW12,D265P,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MATA2A,RW12,MATAL,UD,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PEMA1B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3010,0030,+,02000,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,PEMA1B,RW30,GND,UB,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,PEMA1B,RW30,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2650,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PEMA1B,RW30,D227Q,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PEMA1B,RW30,PEMAN,UD,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PEMA2A,RW12,D121F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1222,0059,1210,0040, ,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,PEMA2A,RW12,GND,UB,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,PEMA2A,RW12,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2650,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PEMA2A,RW12,D227Q,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PEMA2A,RW12,PEMAN,UD,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,POLA2B,RW30,GND,UB,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,POLA2B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3010,0010,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,POLA2B,RW30,POLAD,UB,E,A,EEC ,R,   ,CF, ,GND,UB,D, ,      ,0602,0353,0670,0340,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,POLA3A,RW12,D121F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1222,0059,1210,0040, ,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,POLA3A,RW12,POLAD,UB,E,A,EEC , ,   ,CF, ,GND,UB,D, ,      ,0602,0353,0480,0310,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VERC1A,RW12,D121F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1222,0059,1210,0040, ,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,VERC1A,RW12,GND,UB,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,VERC1A,RW12,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2650,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VERC1A,RW12,VERCA,UB,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VERC1B,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3010,    ,+,01490,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,VERC1B,RW30,VERCA,UB,E,A,EEC , ,   ,CF, ,GND,UB,D, ,      ,3065,0401,3060,0400,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BAGV1E,RW12,BARAD,UG,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,09000, ,   ,    ,   ,GND,UB,D, , , , , ;
