SID:010,2,ASTO2K,RW03L, , , , ,    , ,   ,CD, ,ATV,LG,D, ,      ,    ,    ,0320,0145, ,     ,     ,09000, ,   ,    ,   ,SPA,LG,D, , , , , ;
SID:020,2,ASTO2K,RW03L,ATV,LG,D, ,V   ,R,   ,CF,Y,ATV,LG,D, ,      ,0000,0000,2450,0160, ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,ASTO2K,RW03L,ASTOV,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATV1G,RW21R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2120,    ,+,05000,     ,09000, ,   ,    ,   ,LGAV,LG,P,A,A, , , ;
SID:020,2,ATV1G,RW21R,ATV,LG,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL160,07000,     ,-,210,    ,   , , , , , , , , ;
SID:010,2,ATV1H,RW21L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2120,    ,+,05000,     ,09000, ,   ,    ,   ,LGAV,LG,P,A,A, , , ;
SID:020,2,ATV1H,RW21L,ATV,LG,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL160,07000,     ,-,210,    ,   , , , , , , , , ;
SID:010,2,ATV1K,RW03L, , , , ,    , ,   ,CD, ,SPA,LG,D, ,      ,    ,    ,0320,0090, ,     ,     ,09000, ,   ,    ,   ,LGAV,LG,P,A,A, , , ;
SID:020,2,ATV1K,RW03L,ATV,LG,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL160,07000,     ,-,220,    ,   , , , , , , , , ;
SID:010,2,ATV2E,RW03R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0320,    ,+,00710,     ,09000, ,   ,    ,   ,LGAV,LG,P,A,A, , , ;
SID:015,2,ATV2E,RW03R,SAT,LG,D, ,V   , ,   ,FD, ,SAT,LG,D, ,      ,0000,0000,0460,0100, ,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ATV2E,RW03R,ATV,LG,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL160,07000,     ,-,210,    ,   , , , , , , , , ;
SID:010,5,BIBE1E,RW03R,AV033,LG,P,C,E   , ,010,CF, ,SPA,LG,D, ,      ,0322,0136,0320,0110, ,     ,     ,09000,-,235,    ,   ,LGAV,LG,P,A,B, , , ;
SID:020,5,BIBE1E,RW03R,AV035,LG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BIBE1E,RW03R,BIBEX,LG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BIBE1G,RW21R,SAT,LG,D, ,V   , ,   ,CF, ,SAT,LG,D, ,      ,0000,0000,2120,0020,+,00700,     ,09000, ,   ,    ,   ,SAT,LG,D, , , , , ;
SID:020,2,BIBE1G,RW21R,D219O,LG,P,C,EY  , ,   ,CF, ,SAT,LG,D, ,      ,2190,0150,2190,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BIBE1G,RW21R,D277O,LG,P,C,E   ,L,   ,CF, ,KEA,LG,D, ,      ,2770,0150,0970,0140,-,03000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,BIBE1G,RW21R,KEA,LG,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BIBE1G,RW21R,BIBEX,LG,P,C,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BIBE1H,RW03L,AV032,LG,P,C,E   , ,010,CF, ,ATV,LG,D, ,      ,0410,0187,0310,0116, ,     ,     ,09000,-,235,    ,   ,LGAV,LG,P,A,B, , , ;
SID:020,5,BIBE1H,RW03L,AV035,LG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BIBE1H,RW03L,BIBEX,LG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BIBE1K,RW03L,ATV15,LG,P,C,E   , ,   ,CF, ,ATV,LG,D, ,      ,0450,0150,0320,0090, ,     ,     ,09000, ,   ,    ,   ,SPA,LG,D, , , , , ;
SID:020,2,BIBE1K,RW03L,D116O,LG,P,C,EY  ,R,   ,AF, ,ATV,LG,D, ,      ,1160,0150,0450,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BIBE1K,RW03L,D124O,LG,P,C,E   ,R,   ,AF, ,ATV,LG,D, ,      ,1240,0150,1160,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,2,BIBE1K,RW03L,BIBEX,LG,P,C,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BIBE1L,RW03L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0320,    ,+,00710,     ,09000, ,   ,    ,   ,SAT,LG,D, , , , , ;
SID:020,2,BIBE1L,RW03L,D031L,LG,P,C,E   , ,   ,CF, ,SAT,LG,D, ,      ,0310,0120,0310,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,BIBE1L,RW03L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0310,    ,+,04000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,BIBE1L,RW03L,D284I,LG,P,C,EY  , ,   ,CF, ,KRO,LG,D, ,      ,2840,0090,1040,0110,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BIBE1L,RW03L,KEA,LG,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
