SID:050,2,EVIK1B,RW01,EVIKO,LG,E,A,EEC , ,   ,CF, ,SKP,LG,D, ,      ,2685,0083,2680,0040,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EVIK1E,RW01,DER01,LG,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,LGSK,LG,P,A, , , , ;
SID:020,5,EVIK1E,RW01, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,0140,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EVIK1E,RW01,SK011,LG,P,C,E   , ,010,CF, ,SKP,LG,D, ,      ,3298,0070,0140,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EVIK1E,RW01,SK012,LG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EVIK1E,RW01,SKP,LG,D, ,V C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:060,5,EVIK1E,RW01,EVIKO,LG,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,EVIK1F,RW19,DER19,LG,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,LGSK,LG,P,A, , , , ;
SID:020,5,EVIK1F,RW19, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,1940,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EVIK1F,RW19,SK191,LG,P,C,E   , ,010,CF, ,SKP,LG,D, ,      ,2198,0113,1940,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EVIK1F,RW19,SK192,LG,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
