STAR:010,2,IZER2N,RW27,IZERA,UK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   ,PO,UK,P,N, , , , ;
STAR:020,2,IZER2N,RW27,PO,UK,P,N,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,ORTE2N,RW27,ORTEX,UK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08040,     ,     , ,   ,    ,   ,PO,UK,P,N, , , , ;
STAR:020,2,ORTE2N,RW27,PO,UK,P,N,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,ORTE2P,RW09,ORTEX,UK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08040,     ,     , ,   ,    ,   ,PO,UK,P,N, , , , ;
STAR:020,2,ORTE2P,RW09,PO,UK,P,N,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,PEKI5M,RW09,PEKIT,UK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07060,     ,     , ,   ,    ,   ,PO,UK,P,N, , , , ;
STAR:020,2,PEKI5M,RW09,PO,UK,P,N,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,PEKI5N,RW27,PEKIT,UK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07060,     ,     , ,   ,    ,   ,PO,UK,P,N, , , , ;
STAR:020,2,PEKI5N,RW27,PO,UK,P,N,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:020,N,N09, ,FF09,UK,P,C,E  F, ,   ,IF, ,PO,UK,P,N,      ,    ,    ,    ,    ,+,01970,     ,     , ,   ,    ,   ,PO,UK,P,N, ,0, ,S;
APPCH:030,N,N09, ,PO,UK,P,N,E  M, ,   ,CF, ,PO,UK,P,N,      ,    ,    ,0890,0039, ,00734,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0890,    ,+,01970,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N09, ,PO,UK,P,N,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02960,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N27, ,FF27,UK,P,C,E  F, ,   ,IF, ,PO,UK,P,N,      ,    ,    ,    ,    ,+,01970,     ,     , ,   ,    ,   ,PO,UK,P,N, ,0, ,S;
APPCH:030,N,N27, ,RW27,UK,P,G,G  M, ,   ,CF, ,PO,UK,P,N,      ,    ,    ,2690,0044, ,00555,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N27, ,PO,UK,P,N,EYM , ,   ,CF, ,PO,UK,P,N,      ,0000,0000,2690,0020,+,00910,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N27, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2690,    ,+,01970,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N27, ,PO,UK,P,N,EE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02960,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW09 ,+0048,      ,00501, ,    , ,   ;N49341400,E034223600,0000;
RWY:RW27 ,-0048,      ,00505, ,    , ,   ;N49340500,E034244200,0000;
