SID:060,5,IXID1M,RW17,PT751,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,IXID1M,RW17,IXIDA,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IXID1T,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3470,    ,+,00730,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,IXID1T,RW35,CS470,LP,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,IXID1T,RW35,CS440,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,IXID1T,RW35,CS445,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,IXID1T,RW35,CS447,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,IXID1T,RW35,CS449,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,IXID1T,RW35,PT751,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,IXID1T,RW35,IXIDA,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ORVE1M,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1660,    ,+,00800,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ORVE1M,RW17,CS440,LP,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ORVE1M,RW17,CS445,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ORVE1M,RW17,CS447,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ORVE1M,RW17,CS449,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ORVE1M,RW17,PT751,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ORVE1M,RW17,IDBID,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ORVE1M,RW17,ORVED,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ORVE1T,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3470,    ,+,00730,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ORVE1T,RW35,CS470,LP,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ORVE1T,RW35,CS440,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ORVE1T,RW35,CS445,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ORVE1T,RW35,CS447,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ORVE1T,RW35,CS449,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ORVE1T,RW35,PT751,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ORVE1T,RW35,IDBID,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,ORVE1T,RW35,ORVED,LP,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ZIFO1M,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1660,    ,+,00800,     ,04000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ZIFO1M,RW17,CS440,LP,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ZIFO1M,RW17,CS445,LP,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ZIFO1M,RW17,EXFUN,LP,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
