APPCH:030,D,D18, ,RW18,K5,P,G,G  M, ,   ,CF, ,FNT,K5,D, ,      ,0315,0004,1960,0024, ,00806,     ,     , ,   ,-302,   , , , , , ,0, ,S;
APPCH:040,D,D18, ,FNT,K5,D, ,VYM , ,   ,CF, ,FNT,K5,D, ,      ,0000,0000,1960,0004, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D18, ,KATTY,K5,E,A,E   ,L,   ,CF, ,FNT,K5,D, ,      ,0968,0103,0970,0100,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D18, ,KATTY,K5,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2770,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D36,FNT,FNT,K5,D, ,V  A,L,   ,PI, ,FNT,K5,D, ,      ,0000,0000,2240,0100,+,02600,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36,FNT,FF36,K5,P,C,EE  , ,   ,CF, ,FNT,K5,D, ,      ,1790,0064,3590,0036,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D36, ,FF36,K5,P,C,E  F, ,   ,IF, ,FNT,K5,D, ,      ,1790,0064,    ,    ,+,02600,     ,18000, ,   ,    ,   ,FNT,K5,D, , ,0, ,S;
APPCH:025,D,D36, ,COMEN,K5,P,C,E S , ,   ,CF, ,FNT,K5,D, ,      ,1787,0030,3590,0034,+,01500,     ,     , ,   ,-306,   , , , , , ,0, ,S;
APPCH:030,D,D36, ,RW36,K5,P,G,G  M, ,   ,CF, ,FNT,K5,D, ,      ,1754,0010,3590,0021, ,00833,     ,     , ,   ,-306,   , , , , , ,0, ,S;
APPCH:040,D,D36, ,FNT,K5,D, ,VYM , ,   ,CF, ,FNT,K5,D, ,      ,0000,0000,3590,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D36, ,KATTY,K5,E,A,E   ,R,   ,CF, ,FNT,K5,D, ,      ,0968,0103,0970,0100,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D36, ,KATTY,K5,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2770,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,I09,FNT,FNT,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I09,FNT,SELFY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I09,FNT,SELFY,K5,P,C,EE C,L,   ,HF, , , , , ,      ,    ,    ,0940,T010,+,02600,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I09, ,SELFY,K5,P,C,E  I, ,   ,IF, ,IFNT,K5,P,I,      ,2743,0114,    ,    ,J,02600,02600,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I09, ,KROGR,K5,P,C,E  F, ,   ,CF, ,IFNT,K5,P,I,      ,2743,0073,0940,0040,H,02600,02600,     , ,   ,-280,   ,FNT,K5,D, , ,0,N,S;
APPCH:030,I,I09, ,RW09,K5,P,G,G  M, ,   ,CF, ,IFNT,K5,P,I,      ,2743,0014,0940,0060, ,00823,     ,     , ,   ,-280,   , , , , , ,0,N,S;
APPCH:040,I,I09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0940,    ,+,01190,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I09, ,HARRO,K5,P,C,E   , ,   ,CF, ,FNT,K5,D, ,      ,0934,0100,0930,0100,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I09, ,HARRO,K5,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2730,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I27,FNT,FNT,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I27,FNT,HARRO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I27,FNT,HARRO,K5,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,2740,T010,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I27, ,HARRO,K5,P,C,E  I, ,   ,IF, ,ITUN,K5,P,I,      ,0942,0108,    ,    ,J,02800,02000,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I27, ,TORYY,K5,P,C,E  F, ,   ,CF, ,ITUN,K5,P,I,      ,0942,0052,2740,0057,H,02000,02000,     , ,   ,-300,   ,FNT,K5,D, , ,0,N,S;
APPCH:030,I,I27, ,RW27,K5,P,G,GY M, ,   ,CF, ,ITUN,K5,P,I,      ,0942,0014,2740,0037, ,00819,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I27, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2740,    ,+,01190,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I27, ,SELFY,K5,P,C,E   , ,   ,CF, ,FNT,K5,D, ,      ,2751,0106,2750,0100,+,02600,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I27, ,SELFY,K5,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,0950,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R09,CLIOO,CLIOO,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09,CLIOO,FONKO,K5,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R09,CLIOO,AJDIF,K5,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R09,FNT,FNT,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09,FNT,AJDIF,K5,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R09,FNT,AJDIF,K5,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0940,0040,+,02400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R09,POLAR,POLAR,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09,POLAR,CIHUB,K5,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R09,POLAR,AJDIF,K5,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R09, ,AJDIF,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R09, ,EHEMI,K5,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0940,0061,+,02400,     ,     , ,   ,    ,   ,RW09,K5,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
