SID:010,5,AMDE1M,RW21,NP420,GV,P,C,E   , ,010,CF, ,SNT,GV,D, ,      ,2124,0074,2110,0070, ,     ,     ,07000,-,265,    ,   ,GVNP,GV,P,A, , , , ;
SID:015,5,AMDE1M,RW21,NP421,GV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,AMDE1M,RW21,NP422,GV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AMDE1M,RW21,NP423,GV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AMDE1M,RW21,AMDER,GV,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AMDE1M,BVT,AMDER,GV,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GVNP,GV,P,A, , , , ;
SID:030,6,AMDE1M,BVT,BVT,GV,D,B,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AMDE1M,CVS,AMDER,GV,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GVNP,GV,P,A, , , , ;
SID:040,6,AMDE1M,CVS,CVS,GV,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMDE1N,RW03,NP414,GV,P,C,E   , ,010,CF, ,SNT,GV,D, ,      ,0300,0106,0310,0100, ,     ,     ,07000,-,265,    ,   ,GVNP,GV,P,A, , , , ;
SID:020,5,AMDE1N,RW03,AMDER,GV,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AMDE1N,BVT,AMDER,GV,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GVNP,GV,P,A, , , , ;
SID:020,6,AMDE1N,BVT,BVT,GV,D,B,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AMDE1N,CVS,AMDER,GV,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GVNP,GV,P,A, , , , ;
SID:020,6,AMDE1N,CVS,CVS,GV,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BULV2E,RW03, , , , ,    , ,   ,CD, ,SNT,GV,D, ,      ,    ,    ,0310,0080,+,02500,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BULV2E,RW03, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0310,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BULV2E,RW03,D129J,GV,P,C,E   ,R,   ,AF, ,SNT,GV,D, ,      ,1290,0100,0310,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BULV2E,RW03,D179J,GV,P,C,E   ,R,   ,AF, ,SNT,GV,D, ,      ,1790,0100,1290,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BULV2E,RW03, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2690,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BULV2E,RW03,SNT,GV,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BULV2E,RW03,BULVO,GV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BULV2F,RW21, , , , ,    , ,   ,CD, ,SNT,GV,D, ,      ,    ,    ,2110,0050, ,     ,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BULV2F,RW21, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2680,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BULV2F,RW21,SNT,GV,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BULV2F,RW21,BULVO,GV,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BULV2M,RW03, , , , ,    , ,   ,CD, ,SNT,GV,D, ,      ,    ,    ,0310,0030, ,     ,     ,07000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BULV2M,RW03, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,2540,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:050,2,BULV2M,RW03,SNT,GV,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
