SID:010,5,ATNE7K,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0530,    ,+,00420,     ,06000, ,   ,    ,   ,LIEO,LI,P,A, , , , ;
SID:020,5,ATNE7K,RW05,EO603,LI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,ATNE7K,RW05,ATNET,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ATNE8Q,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2330,    ,+,00440,     ,06000, ,   ,    ,   ,LIEO,LI,P,A, , , , ;
SID:020,5,ATNE8Q,RW23,EO630,LI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ATNE8Q,RW23,EO631,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ATNE8Q,RW23,EO634,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ATNE8Q,RW23,UNBID,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ATNE8Q,RW23,EO635,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ATNE8Q,RW23,SUKUN,LI,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ATNE8Q,RW23,ATNET,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BATO6K,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0530,    ,+,00420,     ,06000, ,   ,    ,   ,LIEO,LI,P,A, , , , ;
SID:020,5,BATO6K,RW05,EO603,LI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,BATO6K,RW05,BATOX,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL095,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BATO7A,RW05, , , , ,    , ,   ,CD, ,SME,LI,D, ,      ,    ,    ,0530,0100,+,03600,     ,06000, ,   ,    ,   ,SME,LI,D, , , , , ;
SID:020,2,BATO7A,RW05,SME31,LI,P,C,E   , ,   ,CF, ,SME,LI,D, ,      ,0530,0310,0530,0210,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BATO7A,RW05,BATOX,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BATO7B,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2330,    ,+,00440,     ,06000, ,   ,    ,   ,SME,LI,D, , , , , ;
