APPCH:010,A,VORA,TIMLI,TIMLI,SP,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VORA,TIMLI,MUKIT,SP,P,C,EECB, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,V,VORA, ,MUKIT,SP,P,C,E CI, ,   ,IF, ,POY,SP,D, ,      ,1100,0140,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,V,VORA, ,MIKEK,SP,P,C,E CF, ,   ,CF, ,POY,SP,D, ,      ,1100,0070,2900,0070,+,11400,     ,     , ,   ,    ,   ,POY,SP,D, , ,0, ,C;
APPCH:030,V,VORA, ,POY,SP,D, ,V  M, ,   ,CF, ,POY,SP,D, ,      ,0000,0000,2900,0070, ,09940,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,V,VORA, ,VAMUT,SP,E,A,E M , ,   ,CF, ,POY,SP,D, ,      ,2581,0180,2580,0180,+,FL140,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,V,VORA, ,VAMUT,SP,E,A,EECH,L,   ,HM, , , , , ,      ,    ,    ,0780,T015,+,FL140,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VORB,IREVA,IREVA,SP,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VORB,IREVA,D238R,SP,P,C,E   ,R,   ,AF, ,POY,SP,D, ,      ,2380,0180,2170,    ,+,FL150,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VORB,IREVA,VAMUT,SP,E,A,E C ,R,   ,AF, ,POY,SP,D, ,      ,2581,0180,2380,    ,+,FL140,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:040,A,VORB,IREVA,SAMKA,SP,P,C,EECB, ,   ,CF, ,POY,SP,D, ,      ,2581,0130,0780,0050,+,13000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VORB,VAMUT,VAMUT,SP,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VORB,VAMUT,SAMKA,SP,P,C,EECB, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,V,VORB, ,SAMKA,SP,P,C,E CI, ,   ,IF, ,POY,SP,D, ,      ,2581,0130,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,V,VORB, ,YENNY,SP,P,C,E CF, ,   ,CF, ,POY,SP,D, ,      ,2581,0080,0780,0050,+,12000,     ,     , ,   ,    ,   ,POY,SP,D, , ,0, ,C;
APPCH:030,V,VORB, ,MA078,SP,P,C,E  M, ,   ,CF, ,POY,SP,D, ,      ,2581,0010,0780,0070, ,09940,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,V,VORB, ,POY,SP,D, ,V M , ,   ,CF, ,POY,SP,D, ,      ,0000,0000,0780,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,V,VORB, , , , , ,    , ,   ,VD, ,POY,SP,D, ,      ,    ,    ,0780,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,V,VORB, ,POY,SP,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:070,V,VORB, ,VAMUT,SP,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:080,V,VORB, ,VAMUT,SP,E,A,EE H,L,   ,HM, , , , , ,      ,    ,    ,0780,T015,+,FL140,     ,     , ,   ,    ,   , , , , , ,0, ,C;
RWY:RW13 ,+0860,      ,08302, ,    , ,   ;S06114570,W077514540,0000;
RWY:RW31 ,-0860,      ,08358, ,    , ,   ;S06122900,W077505780,0000;
